,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
0,skin care,supplements, , The Glow Molecule,,The Glow Molecule,24.97, , ,4.00,1,https://www.ulta.com/glow-molecule?productId=xlsImpprod14121189
1,hair,travel size, ,AG Hair Colour To Go Kit,AG Hair,Colour To Go Kit,14.97, , ,3.70,7,https://www.ulta.com/colour-go-kit?productId=xlsImpprod15511031
2,men,cologne, ,ARMANI Armani Code Profumo Parfum,ARMANI,Armani Code Profumo Parfum,64.97,2 Sizes,Free Gift with Purchase!,4.50,59,https://www.ulta.com/armani-code-profumo-parfum?productId=xlsImpprod14561021
3,men,cologne, ,ARMANI Armani Code Profumo Parfum,ARMANI,Armani Code Profumo Parfum,80.97,2 Sizes,Free Gift with Purchase!,4.50,59,https://www.ulta.com/armani-code-profumo-parfum?productId=xlsImpprod14561021
4,makeup,lips, ,Anastasia Beverly Hills Lip Gloss,Anastasia Beverly Hills,Lip Gloss, ,17 Colors, ,4.50,882,https://www.ulta.com/lip-gloss?productId=xlsImpprod13811009
5,makeup,lips, ,Anastasia Beverly Hills Matte Lipstick,Anastasia Beverly Hills,Matte Lipstick,12.97,26 Colors, ,4.30,476,https://www.ulta.com/matte-lipstick?productId=xlsImpprod16451255
6,makeup,face,foundation,Anastasia Beverly Hills Stick Foundation,Anastasia Beverly Hills,Stick Foundation,17.97,4 Colors, ,3.80,943,https://www.ulta.com/stick-foundation?productId=xlsImpprod14551041
7,makeup,eyes,eyeshadow,Buxom Customizable Eyeshadow Bar Single Refills,Buxom,Customizable Eyeshadow Bar Single Refills,8.97,42 Colors,Buy Together and Save! Palette (2547459) and 6 Single Eyeshadow Refills (40 shades) $40. $85 value!,4.50,782,https://www.ulta.com/customizable-eyeshadow-bar-single-refills?productId=xlsImpprod13561011
8,hair,travel size, ,Chi Argan Oil Plus Moringa Oil Mini,Chi,Argan Oil Plus Moringa Oil Mini,0.97, , ,4.60,17,https://www.ulta.com/argan-oil-plus-moringa-oil-mini?productId=xlsImpprod11651015
9,hair,gifts & value sets, ,Chi CHI For ULTA Beauty 3 In 1 Curl Kit,Chi,CHI For ULTA Beauty 3 In 1 Curl Kit,69.97, , ,5.00,7,https://www.ulta.com/chi-ulta-beauty-3-in-1-curl-kit?productId=pimprod2010760
10,hair,shampoo & conditioner, ,Drybar Detox Whipped Dry Shampoo Foam,Drybar,Detox Whipped Dry Shampoo Foam,11.97, , ,2.70,49,https://www.ulta.com/detox-whipped-dry-shampoo-foam?productId=xlsImpprod16041875
11,skin care,moisturizers, ,First Aid Beauty Facial Radiance Illuminating Moisturizer,First Aid Beauty,Facial Radiance Illuminating Moisturizer,16.97, , ,2.80,9,https://www.ulta.com/facial-radiance-illuminating-moisturizer?productId=xlsImpprod15001031
12,skin care,gifts & value sets, ,First Aid Beauty Ultra Repair Cream Minis Original & Vanilla Citron,First Aid Beauty,Ultra Repair Cream Minis Original & Vanilla Citron,9.97, , ,4.60,85,https://www.ulta.com/ultra-repair-cream-minis-original-vanilla-citron?productId=xlsImpprod15001037
13,bath & body,body moisturizers, ,Hempz Yuzu & Starfruit Daily Herbal Body Moisturizer Broad Spectrum SPF 30,Hempz,Yuzu & Starfruit Daily Herbal Body Moisturizer Broad Spectrum SPF 30,14.97, , ,4.40,45,https://www.ulta.com/yuzu-starfruit-daily-herbal-body-moisturizer-broad-spectrum-spf-30?productId=xlsImpprod13791139
