main_category,sub_category,sub_sub_category,name,brand,product,price,old_price,percent_off,options,offers,rating,no_of_reviews,age
makeup,lips,,L'OréalColour Riche Lipcolour,L'Oréal,Colour Riche Lipcolour,8.95,$10.99 ,18.56%,"Seine Sunset, S'Il Vous Plait, Maison Marais, Berry Parisienne, Rouge St. Germain, Red Passion, Organza, Paris.NY, Montmartre","Buy 2, get 1 FREE - Add 3 items to qualify!",4.3,1173,old
makeup,face,,RevlonPhotoReady Candid Antioxidant Concealer,Revlon,PhotoReady Candid Antioxidant Concealer,4.99,$9.99 ,50.05%,"Hazelnut 075, Oat 028","Buy 1, get 1 at 50% off!",4.4,338,old
makeup,lips,,RevlonSuper Lustrous Glass Shine Lipstick,Revlon,Super Lustrous Glass Shine Lipstick,4.99,$9.99 ,50.05%,Cherries in the Snow,"Buy 1, get 1 at 50% off!",4,50,old
makeup,lips,lipstick,Wet n WildMegalast Liquid Catsuit Metallic Lipstick,Wet n Wild,Megalast Liquid Catsuit Metallic Lipstick,4.99,$5.29 ,5.67%,Harbor A Crush,,4.1,67,old
makeup,lips,,Wet n WildMegaLast Liquid Catsuit Matte Lipstick,Wet n Wild,MegaLast Liquid Catsuit Matte Lipstick,4.99,$5.49 ,9.11%,"The Shade is teal, So Noir Cool",,4.2,371,old
makeup,eyes,eyeliner,L'OréalVoluminous Lash Paradise Liquid Eyeliner,L'Oréal,Voluminous Lash Paradise Liquid Eyeliner,4.99,$9.99 ,50.05%,Rose Gold,,2.4,55,old
makeup,face,,Makeup RevolutionConceal & Define Full Coverage Foundation,Makeup Revolution,Conceal & Define Full Coverage Foundation,5.99,$12.00 ,50.08%,"F17 (for deep dark skin tones w/ a neutral undertone), F15 (for dark skin tones w/ a red undertone)",,3.9,1403,old
makeup,lips,,L'OréalRouge Signature Lightweight Matte Lip Stain,L'Oréal,Rouge Signature Lightweight Matte Lip Stain,5.99,$11.99 ,50.04%,"I Stand, I Rebel",,4.4,9228,old
makeup,lips,,L'OréalInfallible Matte Lip Crayon,L'Oréal,Infallible Matte Lip Crayon,5.99,$11.99 ,50.04%,"Lavender Honey, Lady Toffee, Chocolate Delight, Cherryfic","Buy 2, get 1 FREE - Add 3 items to qualify!",4.3,1240,old
makeup,face,,CoverGirlOutlast All-Day Soft Touch Concealer,CoverGirl,Outlast All-Day Soft Touch Concealer,5.99,$11.99 ,50.04%,"Light, Deep, Medium to Deep",,3.8,794,old
makeup,face,,CoverGirlTruBlend Matte Made Liquid Foundation,CoverGirl,TruBlend Matte Made Liquid Foundation,8.04,$11.49 ,30.03%,"Golden Natural M10, Warm Honey T30, Fair Beige L50, Golden Amber T10, Perfect Beige M90, Golden Ivory L30, Golden Caramel D10",,3.3,416,old
makeup,face,,CoverGirlTruBlend Matte Made Liquid Foundation,CoverGirl,TruBlend Matte Made Liquid Foundation,5.75,$11.49 ,49.96%,Caramel T70,,3.3,416,old
makeup,lips,,SUGARPILLLiquid Lip Color,SUGARPILL,Liquid Lip Color,12.6,$18.00 ,30.00%,"Truth or Dare (blackened burgundy w/ purple and gold sparkles), Anti-Socialite (super matte blackened burgundy), Pillow Fight (dusty mauve w/ purple, silver, and gold sparkles), Vertigo (muted smokey purple w/ multi-dimensional teal sparkles)",,4.2,82,old
makeup,lips,lipstick,VDLOnline Only Triple Shot Ex,VDL,Online Only Triple Shot Ex,12.6,$18.00 ,30.00%,"Triple Fuschia, Triple Swag, Triple Cherry",,4,6,old
makeup,eyes,,MaybellineTattooStudio Brow Pomade,Maybelline,TattooStudio Brow Pomade,6.49,$12.99 ,50.04%,"Light Blonde, Auburn",,4.3,108,old
makeup,face,face powder,CoverGirlOutlast All-Day Matte Finishing Powder,CoverGirl,Outlast All-Day Matte Finishing Powder,6.49,$11.99 ,45.87%,Medium to Deep,,3.8,794,old
nails,nail polish,,Sally HansenMega Strength Nail Color,Sally Hansen,Mega Strength Nail Color,1.5,$5.99 ,74.96%,New Atti-hue,,4,82,old
