product_id,main_category,sub_category,sub_sub_category,name,brand,product,price,old_price,percent_off,options,offers,rating,no_of_reviews,age
pimprod2009185,makeup,face, ,Makeup Revolution Conceal & Fix Setting Powder,Makeup Revolution,Conceal & Fix Setting Powder,5.49,$11.00,0.5009,"Light Pink (offers subtle colour correcting, perfect for olive skin tones ), Medium Yellow (ideal for yellow or light olive skin tones)", ,3.00,58,old
xlsImpprod17161499,makeup,lips, ,L'Oréal Colour Riche Shine Lipstick,L'Oréal,Colour Riche Shine Lipstick,5.49,$10.99,0.5005,"Dazzling Doe, Varnished Rosewood, Dewy Petal, Luminous Coral, Lacquered Strawberry, Polished Tango, Shining Peach, Glossy Fawn, Sparkling Rose, Enamel Red", ,4.40,108,old
7885,hair,styling products, ,Paul Mitchell Extra-Body Sculpting & Volumizing Foam,Paul Mitchell,Extra-Body Sculpting & Volumizing Foam,12.5,$12.50 - $25.00, ,6.7 oz, ,4.60,286,old
11531,hair,styling products, ,Paul Mitchell Extra-Body Flexible Sculpting Gel,Paul Mitchell,Extra-Body Flexible Sculpting Gel,12.5,$12.50 - $23.00, ,6.8 oz, ,4.40,113,old
pimprod2004420,skin care,global skin care, ,Kitao Matcha + Chia Cleansing Cream,Kitao,Matcha + Chia Cleansing Cream,12.5,$25.00,0.5,ounce, ,4.40,222,old
pimprod2002523,makeup,lips, ,Sara Happ The Lip Slip One Luxe Gloss,Sara Happ,The Lip Slip One Luxe Gloss,12.0,$24.00,0.5,Fuchsia Slip (vibrant pink), ,3.60,11,old
pimprod2003454,hair,shampoo & conditioner,conditioner,Wella Invigo Nutri-Enrich Conditioner,Wella,Invigo Nutri-Enrich Conditioner,18.4,$18.40 - $35.50, ,8.4 oz, ,4.20,251,old
pimprod2003725,hair,treatment, ,Wella Invigo Nutri-Enrich Mask,Wella,Invigo Nutri-Enrich Mask,17.6,$17.60 - $30.90, ,5.07 oz, ,4.40,204,old
pimprod2003701,hair,treatment, ,Wella Invigo Brilliance Mask For Coarse Hair,Wella,Invigo Brilliance Mask For Coarse Hair,17.6,$17.60 - $30.90, ,5.07 oz, ,4.40,759,old
pimprod2002644,makeup,lips, ,L'Oréal Rouge Signature Lightweight Matte Lip Stain,L'Oréal,Rouge Signature Lightweight Matte Lip Stain,5.99,$11.99,0.5004,"I Empower, I Captivate, I Explore, I Radiate, I Don't, I Decide, I Savor",Free Gift with Purchase!,4.40,9259,old
pimprod2006670,makeup,face, ,Maybelline Super Stay Full Coverage Under-Eye Concealer,Maybelline,Super Stay Full Coverage Under-Eye Concealer,5.99,$11.99,0.5004,"Caramel, Tan, Fair, Light, Ivory, Medium, Honey, Deep Cocoa, Warm Olive, Sand", ,4.40,660,old
pimprod2012517,makeup,lips,lipstick,L'Oréal Rouge Signature Empowereds,L'Oréal,Rouge Signature Empowereds,5.99,$11.99,0.5004,"Armored, Uncensored, Admired, Adored, Empowered", ,3.00,16,old
pimprod2019330,makeup,face, ,Makeup Revolution Conceal & Glow Foundation,Makeup Revolution,Conceal & Glow Foundation,5.99,$12.00,0.5008,"F7 (medium skin tones w/ neutral undertone), F1 (fair skin tones w/ neutral undertone), F2 (fair skin tones w/ pink undertone), F4 (light skin tones w/ pink undertone), F18 (dark skin tones w/ warm undertone)", ,3.60,29,old
pimprod2005293,hair,shampoo & conditioner,conditioner,Shimmer Lights Shimmer Lights Purple Conditioner for Blonde & Silver Hair,Shimmer Lights,Shimmer Lights Purple Conditioner for Blonde & Silver Hair,13.8,$13.80 - $23.15, ,16.0 oz,Free Gift with Purchase!,4.10,572,old
pimprod2005293,hair,shampoo & conditioner,conditioner,Shimmer Lights Shimmer Lights Purple Conditioner for Blonde & Silver Hair,Shimmer Lights,Shimmer Lights Purple Conditioner for Blonde & Silver Hair,23.15,$13.80 - $23.15, ,31.5 oz,Free Gift with Purchase!,4.10,572,old
2681,makeup,lips, ,L'Oréal Colour Riche Lipcolour,L'Oréal,Colour Riche Lipcolour,8.95,$10.99,0.1856,"Organza, Red Passion, S'Il Vous Plait, Paris.NY, Rouge St. Germain, Seine Sunset, Berry Parisienne, Maison Marais, Le Beige, Montmartre",Free Gift with Purchase!,4.30,1210,old
pimprod2007165,makeup,eyes, ,ColourPop BFF Mascara,ColourPop,BFF Mascara,4.5,$9.00,0.5,Blue Ya Mind (blue), ,3.20,438,old
pimprod2026369,makeup,face, ,ColourPop Cabana Blush Stix,ColourPop,Cabana Blush Stix,4.5,$9.00,0.5,Too Hot (bright fuschia), ,4.10,7,old
pimprod2008400,hair,treatment, ,Wella Nutricurls Mask,Wella,Nutricurls Mask,23.1,$23.10 - $50.30, ,5.0 oz, ,4.70,124,old
xlsImpprod18091197,hair,treatment, ,Wella FUSIONPLEX Intense Repair Mask,Wella,FUSIONPLEX Intense Repair Mask,23.1,$23.10 - $50.30, ,5.07 oz, ,4.70,124,old
xlsImpprod18091195,hair,shampoo & conditioner, ,Wella Fusionplex Shampoo,Wella,Fusionplex Shampoo,23.1,$23.10 - $50.30, ,8.4 oz, ,4.50,221,old
pimprod2008578,makeup,face, ,W3LL PEOPLE Bio Correct Multi-Action Concealer,W3LL PEOPLE,Bio Correct Multi-Action Concealer,20.0,$22.99,0.1301,"Light (light skin w/ neutral or golden undertones), Fair (fair skin w/ neutral or pink undertones), Medium (medium skin w/ golden or neutral undertones), Medium Dark (medium dark skin w/ neutral undertones)", ,4.60,390,old
xlsImpprod12541087,makeup,lips,lipstick,Smashbox Be Legendary Matte Lipstick,Smashbox,Be Legendary Matte Lipstick,10.5,$14.70,0.2857,Bing (classic red), ,4.40,1435,old
xlsImpprod4060035,makeup,lips,lipstick,Smashbox Be Legendary Cream Lipstick,Smashbox,Be Legendary Cream Lipstick,10.5,$21.00,0.5,"Spectacle (bright orange cream), Get Fired (warm red)", ,4.40,1435,old
pimprod2009414,makeup,face, ,florence by mills See You Never Concealer,florence by mills,See You Never Concealer,7.99,$16.00,0.5006,"T135 (tan w/ golden and olive undertones), TD155 (tan to deep w/ red undertones)", ,4.50,1041,old
pimprod2015868,makeup,face, ,florence by mills Bouncy Cloud Highlighter,florence by mills,Bouncy Cloud Highlighter,7.99,$16.00,0.5006,"Rose Glow (pink), Moonlight Glow (gold), Sun-Kissed Glow (bronze)", ,4.70,290,old
xlsImpprod17631387,makeup,lips, ,FLOWER Beauty Petal Pout Lip Color,FLOWER Beauty,Petal Pout Lip Color,7.99,$8.99,0.1112,"Dahlia Desire (bright fuchsia), Pink Orchid (blue pink), Fuchsia Flush (deep fuchsia)", ,4.50,364,new
xlsImpprod4070011,makeup,eyes,eyeliner,Maybelline Eye Studio Master Precise Liquid Eyeliner,Maybelline,Eye Studio Master Precise Liquid Eyeliner,7.99,$8.99,0.1112,Matte Black, ,3.80,874,old
pimprod2009411,skin care,moisturizers, ,florence by mills Like a Light Skin Tint,florence by mills,Like a Light Skin Tint,8.99,$18.00,0.5006,"T140 (tan w/ cool and neutral undertones), D170 (deep w/ warm and golden undertones), TD160 (tan to deep w/ warm undertones), M080 (medium w/ warm and golden undertones), D180 (deep w/ warm undertones)", ,4.00,972,old
pimprod2015866,makeup,body makeup, ,florence by mills All That Shimmers Body Highlight Dust,florence by mills,All That Shimmers Body Highlight Dust,8.99,$18.00,0.5006,Bronze Crush (bronze shimmer), ,4.60,170,old
