extra_id,ulta_id,date,price,options,rating,no_of_reviews,offers,url,product_id
0,5,01/01/1911,$12.00,,4.00,478.0,,https://www.ulta.com/color-correcting-concealer?productId=xlsImpprod12011171,xlsImpprod12011171
1,89,01/01/1911,$22.00,3 Colors,4.60,39.0,,https://www.ulta.com/radiant-powder-highlighter?productId=pimprod2000980,pimprod2000980
2,154,01/01/1911,$28.00,20 Colors,3.60,17.0,,https://www.ulta.com/cancelled-light-diffusing-v-concealer?productId=pimprod2007405,pimprod2007405
3,197,01/01/1911,$6.00,22 Colors,4.10,5346.0,,https://www.ulta.com/hi-definition-photo-concealer-wand?productId=xlsImpprod3460285,xlsImpprod3460285
4,221,01/01/1911,$9.00,24 Colors,4.30,465.0,,https://www.ulta.com/born-glow-radiant-concealer?productId=pimprod2012326,pimprod2012326
5,279,01/01/1911,$16.00,20 Colors,3.90,104.0,,https://www.ulta.com/see-you-never-concealer?productId=pimprod2009414,pimprod2009414
6,288,01/01/1911,$22.00,,4.70,15.0,,https://www.ulta.com/bali-beach-matte-shimmer-bronzer-duo?productId=pimprod2017376,pimprod2017376
7,314,01/01/1911,$11.49,5 Colors,3.70,15.0,,https://www.ulta.com/full-spectrum-all-day-idol-brightening-concealer?productId=pimprod2002624,pimprod2002624
8,329,01/01/1911,$18.00,11 Colors,4.10,41.0,,https://www.ulta.com/all-over-concealer-stick?productId=pimprod2002578,pimprod2002578
9,343,01/01/1911,$38.00,13 Colors,4.40,448.0,,https://www.ulta.com/bye-bye-foundation-powder?productId=pimprod2006363,pimprod2006363
10,379,01/01/1911,$32.00,,3.10,50.0,,https://www.ulta.com/bye-bye-breakout-powder?productId=xlsImpprod16411279,xlsImpprod16411279
11,440,01/01/1911,$6.74 - $13.49,9 Colors,4.20,13.0,,https://www.ulta.com/full-spectrum-matte-ambition-all-day-powder-foundation?productId=pimprod2002622,pimprod2002622
12,470,01/01/1911,$12.00,4 Colors,3.70,2031.0,,https://www.ulta.com/wonder-stick?productId=xlsImpprod10671003,xlsImpprod10671003
13,578,01/01/1911,$3.99,12 Colors,3.30,66.0,,https://www.ulta.com/love-struck-blusher-bronzer?productId=xlsImpprod13361015,xlsImpprod13361015
14,590,01/01/1911,$28.00,,4.50,2.0,,https://www.ulta.com/pur-x-trolls-world-tour-top-of-charts-face-trio-lipgloss-kit?productId=pimprod2014369,pimprod2014369
15,612,01/01/1911,$7.99,4 Colors,3.70,27.0,,https://www.ulta.com/golden-soleil-baked-bronzer?productId=xlsImpprod13361011,xlsImpprod13361011
16,642,01/01/1911,$39.00,14 Colors,3.90,115.0,,https://www.ulta.com/hide-chic-fluid-foundation?productId=pimprod2007540,pimprod2007540
17,658,01/01/1911,$42.00,42 Colors,4.20,110.0,,https://www.ulta.com/veiled-threat-weightless-micro-blurring-foundation?productId=pimprod2003980,pimprod2003980
18,667,01/01/1911,$16.00,30 Colors,3.60,195.0,Free Gift with Purchase!,https://www.ulta.com/shade-stick-foundation?productId=pimprod2010250,pimprod2010250
19,699,01/01/1911,$15.00,40 Colors,3.70,981.0,,https://www.ulta.com/cant-stop-wont-stop-foundation?productId=xlsImpprod18871063,xlsImpprod18871063
20,738,01/01/1911,$5.99 - $11.99,17 Colors,3.40,73.0,,https://www.ulta.com/full-spectrum-matte-ambition-all-day-foundation?productId=pimprod2002621,pimprod2002621
21,753,01/01/1911,$18.00,20 Colors,3.10,151.0,,https://www.ulta.com/like-a-light-skin-tint?productId=pimprod2009411,pimprod2009411
22,771,01/01/1911,$3.74 - $7.49,11 Colors,3.50,501.0,,https://www.ulta.com/clean-makeup-normal-skin?productId=xlsImpprod1860003,xlsImpprod1860003
23,786,01/01/1911,$26.00,,4.40,1163.0,,https://www.ulta.com/highlight-contour-pro-palette?productId=xlsImpprod12011207,xlsImpprod12011207
24,848,01/01/1911,$14.00,6 Colors,4.10,96.0,,https://www.ulta.com/cheek-me-later-cream-blush?productId=pimprod2009410,pimprod2009410
25,944,01/01/1911,$22.00,4 Colors,4.70,44.0,,https://www.ulta.com/everyday-powder-blush?productId=pimprod2000984,pimprod2000984
26,1019,01/01/1911,$17.00,,4.40,154.0,,https://www.ulta.com/bare-with-me-hydrating-jelly-primer?productId=pimprod2005921,pimprod2005921
27,1024,01/01/1911,$14.00,,3.90,1517.0,,https://www.ulta.com/pore-filler?productId=xlsImpprod4141607,xlsImpprod4141607
28,1033,01/01/1911,$10.00,,4.30,104.0,,https://www.ulta.com/bare-with-me-multitasking-spray?productId=pimprod2005920,pimprod2005920
29,1047,01/01/1911,$17.00,,4.50,596.0,,https://www.ulta.com/bare-with-me-cannabis-sativa-daily-moisturizing-primer-spf-30?productId=pimprod2015258,pimprod2015258
30,1052,01/01/1911,$25.00,,4.70,257.0,,https://www.ulta.com/coconut-rose-toner?productId=xlsImpprod17771081,xlsImpprod17771081
31,1245,01/01/1911,$18.00,,3.20,901.0,,https://www.ulta.com/jeffree-star-set-refresh-mist?productId=pimprod2009223,pimprod2009223
32,1266,01/01/1911,$8.50,,4.30,1363.0,,https://www.ulta.com/dewy-finish-makeup-setting-spray?productId=xlsImpprod5050033,xlsImpprod5050033
33,1320,01/01/1911,$9.50,,4.00,419.0,,https://www.ulta.com/radiant-finish-setting-spray?productId=pimprod2011927,pimprod2011927
34,1368,01/01/1911,$28.00,,4.60,971.0,,https://www.ulta.com/coconut-melt?productId=xlsImpprod17771097,xlsImpprod17771097
35,1402,01/01/1911,$18.00,,4.50,125.0,,https://www.ulta.com/coconut-mini-melt?productId=xlsImpprod17771099,xlsImpprod17771099
36,1403,01/01/1911,$32.00,,4.70,238.0,,https://www.ulta.com/coconut-cleansing-oil?productId=xlsImpprod17771095,xlsImpprod17771095
37,1532,01/01/1911,$17.00,4 Colors,4.50,34.0,,https://www.ulta.com/away-we-glow-liquid-booster?productId=xlsImpprod18001141,xlsImpprod18001141
38,1555,01/01/1911,$16.00,2 Colors,4.40,16.0,,https://www.ulta.com/away-we-glow-strobing-cream?productId=xlsImpprod18241083,xlsImpprod18241083
39,1560,01/01/1911,$10.00,2 Colors,4.50,72.0,,https://www.ulta.com/duo-chrome-illuminator?productId=xlsImpprod17081257,xlsImpprod17081257
40,1561,01/01/1911,$8.99,7 Colors,4.10,98.0,,https://www.ulta.com/you-glow-girl-baked-highlighter?productId=xlsImpprod15451043,xlsImpprod15451043
41,1566,01/01/1911,$23.00,,4.60,244.0,,https://www.ulta.com/light-source-illuminating-highlighter?productId=xlsImpprod13811033,xlsImpprod13811033
42,1572,01/01/1911,$3.49,14 Colors,4.50,24.0,,https://www.ulta.com/rockin-night-sparkling-powder?productId=xlsImpprod18201053,xlsImpprod18201053
43,1594,01/01/1911,$10.00,2 Colors,4.30,101.0,,https://www.ulta.com/liquid-illuminator?productId=xlsImpprod15931011,xlsImpprod15931011
44,1656,01/01/1911,$5.99,4 Colors,4.20,5.0,,https://www.ulta.com/3d-glow-pop-holo-stick?productId=pimprod2002000,pimprod2002000
45,1752,01/01/1911,$6.50,,4.70,850.0,,https://www.ulta.com/glitter-primer?productId=xlsImpprod13461011,xlsImpprod13461011
46,1888,01/01/1911,$10.50,2 Colors,3.10,261.0,,https://www.ulta.com/waterproof-amped-lashes-mascara?productId=xlsImpprod14521075,xlsImpprod14521075
47,1915,01/01/1911,$35.00,,4.40,818.0,,https://www.ulta.com/jeffree-star-artistry-palette?productId=pimprod2009305,pimprod2009305
48,1954,01/01/1911,$10.00,8 Colors,4.40,5101.0,,https://www.ulta.com/micro-brow-pencil?productId=xlsImpprod12011193,xlsImpprod12011193
49,1955,01/01/1911,$39.00,,3.50,77.0,,https://www.ulta.com/wired-pressed-pigment-palette?productId=pimprod2013916,pimprod2013916
50,1980,01/01/1911,$7.50,,4.60,2481.0,,https://www.ulta.com/matte-liquid-liner?productId=xlsImpprod12011209,xlsImpprod12011209
51,2005,01/01/1911,$29.00,,4.60,150.0,,https://www.ulta.com/mini-norvina-pro-pigment-palette-vol-1?productId=pimprod2010475,pimprod2010475
52,2040,01/01/1911,$42.00,,4.40,248.0,,https://www.ulta.com/superhero-eye-transforming-anti-aging-super-palette?productId=xlsImpprod16411309,xlsImpprod16411309
53,2143,01/01/1911,$7.00,9 Colors,4.10,1075.0,,https://www.ulta.com/vivid-brights-eyeliner?productId=xlsImpprod13461009,xlsImpprod13461009
54,2151,01/01/1911,$11.00,9 Colors,4.40,679.0,,https://www.ulta.com/fill-fluff-eyebrow-pomade-pencil?productId=pimprod2004905,pimprod2004905
55,2221,01/01/1911,$6.00,,4.00,747.0,,https://www.ulta.com/control-freak-eyebrow-gel?productId=xlsImpprod6380161,xlsImpprod6380161
56,2265,01/01/1911,$7.00,,3.80,1032.0,,https://www.ulta.com/white-liquid-liner?productId=xlsImpprod12011213,xlsImpprod12011213
57,2272,01/01/1911,$10.00,8 Colors,4.40,761.0,,https://www.ulta.com/precision-brow-pencil?productId=xlsImpprod16501105,xlsImpprod16501105
58,2294,01/01/1911,$8.00,16 Colors,4.20,1607.0,,https://www.ulta.com/slide-on-eye-pencil?productId=xlsImpprod3490137,xlsImpprod3490137
59,2356,01/01/1911,$18.00,,4.20,1150.0,,https://www.ulta.com/brights-ultimate-shadow-palette?productId=xlsImpprod13901021,xlsImpprod13901021
60,2359,01/01/1911,$18.00,,4.20,1150.0,,https://www.ulta.com/warm-neutrals-ultimate-shadow-palette?productId=xlsImpprod13901019,xlsImpprod13901019
61,2929,01/01/1911,$55.00,,3.40,8.0,,https://www.ulta.com/hidden-gems-eyeshadow-palette?productId=pimprod2012729,pimprod2012729
62,3080,01/01/1911,$7.99,2 Colors,3.80,4.0,,https://www.ulta.com/full-spectrum-defining-moment-all-day-eyeliner?productId=pimprod2002633,pimprod2002633
63,3082,01/01/1911,$13.99,,4.00,6.0,,https://www.ulta.com/take-me-away-secret-paradise-fantasy-dreamland-21-eyeshadow-palette?productId=pimprod2002014,pimprod2002014
64,3099,01/01/1911,$9.00,6 Colors,3.30,52.0,,https://www.ulta.com/glitter-eye-top-coat?productId=xlsImpprod18201031,xlsImpprod18201031
65,3151,01/01/1911,$5.99,24 Colors,3.90,85.0,,https://www.ulta.com/pris-metal-chrome-eye-mousse?productId=xlsImpprod17401087,xlsImpprod17401087
66,3182,01/01/1911,$6.74 - $13.49,2 Colors,4.00,5.0,,https://www.ulta.com/full-spectrum-so-saturated-shadow-palettes?productId=pimprod2002632,pimprod2002632
67,3364,01/01/1911,$9.49,6 Colors,4.30,3.0,,https://www.ulta.com/full-spectrum-so-saturated-quad-palette?productId=pimprod2002631,pimprod2002631
68,3393,01/01/1911,$6.00,16 Colors,4.80,15.0,,https://www.ulta.com/vanity-goddess-chromatic-pigment?productId=pimprod2002019,pimprod2002019
69,3409,01/01/1911,$7.99,,Sale,,,https://www.ulta.com/limited-edition-festival-life-lash?productId=pimprod2016472,pimprod2016472
70,3428,01/01/1911,$7.99,,5.00,1.0,,https://www.ulta.com/limited-edition-nature-lash?productId=pimprod2016473,pimprod2016473
71,3516,01/01/1911,$3.49,7 Colors,Sale,,,https://www.ulta.com/shine-your-day-shimmery-powder?productId=pimprod2014241,pimprod2014241
72,3593,01/01/1911,$4.00,32 Colors,4.40,3907.0,,https://www.ulta.com/slim-lip-pencil?productId=xlsImpprod2150078,xlsImpprod2150078
73,3649,01/01/1911,$27.00,6 Colors,3.70,85.0,,https://www.ulta.com/velvet-lip-kit?productId=pimprod2004731,pimprod2004731
74,3694,01/01/1911,$5.00,23 Colors,4.60,4937.0,,https://www.ulta.com/butter-gloss?productId=xlsImpprod5050009,xlsImpprod5050009
75,3706,01/01/1911,$6.00,5 Colors,4.50,283.0,,https://www.ulta.com/thisiseverything-lip-oil?productId=xlsImpprod17451051,xlsImpprod17451051
76,3710,01/01/1911,$13.00,3 Colors,4.80,584.0,,https://www.ulta.com/coconut-lip-glossy?productId=xlsImpprod17771093,xlsImpprod17771093
77,3715,01/01/1911,$7.00,6 Colors,3.70,585.0,,https://www.ulta.com/filler-instinct-plumping-lip-polish?productId=pimprod2005919,pimprod2005919
78,3726,01/01/1911,$42.00,,3.90,351.0,,https://www.ulta.com/jeffree-star-eye-brush-collection?productId=pimprod2009321,pimprod2009321
79,3733,01/01/1911,$9.00,13 Colors,4.20,148.0,,https://www.ulta.com/jelly-gloss-lip-gel?productId=pimprod2002816,pimprod2002816
80,3847,01/01/1911,$9.49,14 Colors,4.40,7.0,,https://www.ulta.com/full-spectrum-gloss-idol?productId=pimprod2002630,pimprod2002630
81,3898,01/01/1911,$6.99,6 Colors,3.70,10.0,,https://www.ulta.com/3d-licious-holographic-lip-cream?productId=xlsImpprod17401075,xlsImpprod17401075
82,3949,01/01/1911,$7.00,,4.50,224.0,,https://www.ulta.com/bare-with-me-cannabis-sativa-seed-oil-lip-conditioner?productId=pimprod2006593,pimprod2006593
