product_id,option,price,sale,available,timestamp
pimprod2025961,Bronzed Belle,6.00,0.0,1.0,2021-06-26 20:35:32.858879
pimprod2025961,Golden Daze,6.00,0.0,1.0,2021-06-26 20:35:34.131188
pimprod2025961,Honey Drip,6.00,0.0,1.0,2021-06-26 20:35:35.394363
pimprod2025961,Sun Kissed,6.00,0.0,1.0,2021-06-26 20:35:36.637562
pimprod2025961,Tan Lines,6.00,0.0,1.0,2021-06-26 20:35:37.941163
pimprod2021423,NA,29.50,0.0,1.0,2021-06-26 20:35:49.544784
pimprod2010723,NA,14.95,0.0,1.0,2021-06-26 20:35:59.091582
xlsImpprod14481069,NA,8.00,0.0,1.0,2021-06-26 20:36:08.323849
xlsImpprod6200713,NA,24.00,0.0,1.0,2021-06-26 20:36:17.583387
pimprod2012540,NA,38.00,0.0,1.0,2021-06-26 20:36:26.699616
xlsImpprod14211033,NA,30.00,0.0,1.0,2021-06-26 20:36:36.658284
xlsImpprod6200795,NA,24.00,0.0,1.0,2021-06-26 20:36:45.640537
pimprod2017014,NA,26.99,0.0,1.0,2021-06-26 20:36:54.929940
pimprod2000017,NA,16.00,0.0,1.0,2021-06-26 20:37:04.144768
pimprod2010493,NA,35.00,1.0,0.0,2021-06-26 20:37:13.136939
pimprod2013450,NA,24.00,0.0,1.0,2021-06-26 20:37:22.038954
pimprod2004250,NA,49.00,0.0,1.0,2021-06-26 20:37:31.038470
pimprod2019218,NA,50.00,0.0,1.0,2021-06-26 20:37:39.878254
pimprod2024083,NA,48.00,0.0,1.0,2021-06-26 20:37:48.529902
xlsImpprod3650026,NA,45.00,0.0,1.0,2021-06-26 20:37:58.434558
pimprod2003557,NA,26.00,0.0,1.0,2021-06-26 20:38:07.533878
pimprod2023945,NA,50.00,0.0,1.0,2021-06-26 20:38:16.435710
pimprod2016354,30 ct,4.49,1.0,1.0,2021-06-26 20:38:26.072387
xlsImpprod890582,1.7 oz,70.00,0.0,1.0,2021-06-26 20:38:35.758640
xlsImpprod890582,3.4 oz,88.00,0.0,1.0,2021-06-26 20:38:37.142196
xlsImpprod890582,6.7 oz,120.00,0.0,1.0,2021-06-26 20:38:38.465785
xlsImpprod16161099,1.6 oz,70.00,0.0,1.0,2021-06-26 20:38:48.321652
xlsImpprod16161099,3.3 oz,90.00,0.0,1.0,2021-06-26 20:38:49.761777
pimprod2015234,1.6 oz,95.00,0.0,1.0,2021-06-26 20:38:59.176433
pimprod2015234,3.0 oz,125.00,0.0,1.0,2021-06-26 20:39:00.489401
pimprod2015234,5.0 oz,155.00,0.0,1.0,2021-06-26 20:39:01.895477
pimprod2023352,NA,8.99,0.0,1.0,2021-06-26 20:39:10.893854
pimprod2025887,Midnight Sands (fair to medium skin tones),9.00,0.0,1.0,
pimprod2025887,Peach Heat (medium to dark skin tones),9.00,0.0,1.0,
pimprod2025887,Scorched Rose (dark to deeper skin tones),9.00,0.0,1.0,
pimprod2007607,Snow (very fair w/ neutral to rosy undertones),39.00,1.0,1.0,
pimprod2007607,Cream Puff (very fair w/ rosy undertones),39.00,1.0,1.0,
pimprod2007607,Almond (fair w/ golden undertones),39.00,1.0,1.0,
pimprod2007607,Porcelain (fair w/ neutral undertones),39.00,1.0,1.0,
pimprod2007607,Vanilla (very light w/ neutral undertones),39.00,1.0,1.0,
pimprod2007607,Nude (very light w/ rosy undertones),39.00,1.0,1.0,
pimprod2007607,Golden Beige (light w/ golden undertones),39.00,1.0,1.0,
pimprod2007607,Light Beige (light w/ neutral undertones),39.00,1.0,1.0,
pimprod2007607,Taffy (light medium w/ rosy undertones),19.50,1.0,1.0,
pimprod2007607,Natural Beige (light medium w/ neutral undertones),39.00,1.0,0.0,
pimprod2007607,Sand (medium w/ golden undertones),39.00,1.0,1.0,
pimprod2007607,Warm Sand (tan w/ golden undertones),39.00,1.0,1.0,
pimprod2007607,Mocha (rich tan w/ rosy undertones),39.00,1.0,1.0,
pimprod2007607,Maple (deep w/ neutral undertones),39.00,1.0,1.0,
pimprod2007607,Chai (deep w/ golden undertones),39.00,1.0,1.0,
pimprod2007607,Toffee (deepest w/ golden undertones),19.50,1.0,0.0,
pimprod2007607,Cocoa (deepest w/ neutral undertones),39.00,1.0,1.0,
pimprod2009185,Translucent (a universal powder suitable for baking & setting makeup for all skin tones),11.00,1.0,1.0,
pimprod2009185,"Light Pink (offers subtle colour correcting, perfect for olive skin tones )",11.00,1.0,1.0,
pimprod2009185,Medium Beige (neutral shade for neutral/ beige skin tones),5.50,1.0,1.0,
pimprod2009185,Medium Pink (perfect for skin with pink undertones),5.50,1.0,1.0,
pimprod2009185,Medium Yellow (ideal for yellow or light olive skin tones),11.00,1.0,1.0,
pimprod2009185,Deep Dark (deep skin tones with a slight red undertone),5.50,1.0,1.0,
xlsImpprod18771085,Latte (warm beige w/ neutral undertones),14.50,1.0,1.0,
xlsImpprod18771085,Almond (cool tan w/ red undertones),14.50,1.0,1.0,
xlsImpprod18771085,Mahogany (warm brown w/ red/neutral undertones),14.50,1.0,1.0,
xlsImpprod18771085,Java (deep brown w/ neutral/red undertones),14.50,1.0,1.0,
xlsImpprod18191081,Walnut 5C1 (dark auburn w/ cool undertones),22.00,1.0,1.0,
