product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,offers,options,main_category,sub_category,sub_sub_category,sale_price
xlsImpprod5770263,2264077,It Cosmetics,Bye Bye Redness Neutralizing Color-Correcting Concealer Cream,https://www.ulta.com/p/bye-bye-redness-neutralizing-color-correcting-concealer-cream-xlsImpprod5770263,4.50,2954,0,$35.00,Free Gift with Purchase!,3 Colors,makeup,face, ,
xlsImpprod15711051,2505332,L.A. Girl,HD Pro Concealer,https://www.ulta.com/p/hd-pro-concealer-xlsImpprod15711051,4.10,1891,0,$4.99,Free Gift with Purchase!,31 Colors,makeup,face, ,
xlsImpprod3590053,2233970,Smashbox,Photo Finish Reduce Redness Primer,https://www.ulta.com/p/photo-finish-reduce-redness-primer-xlsImpprod3590053,4.00,662,0,$14.00 - $39.00,Free Gift with Purchase!,2 Sizes,makeup,face, ,
pimprod2022723,2505329,L.A. Girl,HD Pro Corrector Concealer,https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723,4.10,1891,0,$4.99,Free Gift with Purchase!,10 Colors,makeup,face, ,
xlsImpprod10791925,2222453,Clinique,Redness Solutions Makeup Broad Spectrum SPF 15 with Probiotic Technology,https://www.ulta.com/p/redness-solutions-makeup-broad-spectrum-spf-15-with-probiotic-technology-xlsImpprod10791925,4.50,204,0,$31.00 - $34.00,Online Only Purchase $29.50 of Clinique products and get the Clinique Sunny Staples Kit (2582495) for $35 (valid thru 8/28/21 or while quantities last)! Free Gift with Purchase!,6 Colors,makeup,face, ,
pimprod2021339,2574041,Milani,Supercharged Brightening Undereye Tint,https://www.ulta.com/p/supercharged-brightening-undereye-tint-pimprod2021339,4.00,61,0,$8.99,Free Gift with Purchase!,3 Colors,makeup,face, ,
xlsImpprod12011171,2283240,NYX Professional Makeup,3C Color Correcting Concealer Palette,https://www.ulta.com/p/3c-color-correcting-concealer-palette-xlsImpprod12011171,4.10,508,0,$12.00,Free Gift with Purchase!,,makeup,makeup palettes, ,
pimprod2012834,2557512,No7,Laboratories Dark Circle Corrector,https://www.ulta.com/p/laboratories-dark-circle-corrector-pimprod2012834,4.00,81,0,$26.99,,2 Colors,makeup,face, ,
xlsImpprod3590051,2233969,Smashbox,Photo Finish Even Skintone Peach Primer,https://www.ulta.com/p/photo-finish-even-skintone-peach-primer-xlsImpprod3590051,4.50,218,0,$39.00,Free Gift with Purchase!,,makeup,face, ,
xlsImpprod14021283,2301052,Stila,Correct and Perfect All-In-One Color Correcting Palette,https://www.ulta.com/p/correct-perfect-all-in-one-color-correcting-palette-xlsImpprod14021283,4.60,75,0,$45.00,Free Gift with Purchase!,,makeup,makeup palettes, ,
xlsImpprod11861071,2283239,NYX Professional Makeup,3C Conceal Correct Contour Palette,https://www.ulta.com/p/3c-conceal-correct-contour-palette-xlsImpprod11861071,3.70,517,0,$12.00,Free Gift with Purchase!,3 Colors,makeup,makeup palettes, ,
xlsImpprod3280313,2226206,NYX Professional Makeup,Studio Perfect Color Correcting Primer in Green,https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-green-xlsImpprod3280313,3.90,1206,0,$13.00,Free Gift with Purchase!,,makeup,face, ,
xlsImpprod16211179,2510243,Maybelline,FaceStudio Master Camo Color Correcting Pen,https://www.ulta.com/p/facestudio-master-camo-color-correcting-pen-xlsImpprod16211179,3.50,160,0,$9.99,Free Gift with Purchase!,2 Colors,makeup,face, ,
pimprod2024416,2582653,FLOWER Beauty,Chill Out Smoothing Color Corrector,https://www.ulta.com/p/chill-out-smoothing-color-corrector-pimprod2024416,4.10,45,0,$10.29,Free Gift with Purchase!,3 Colors,makeup,face, ,
xlsImpprod17491097,2523525,Clarins,SOS Primer,https://www.ulta.com/p/sos-primer-xlsImpprod17491097,4.20,311,0,$39.00,Free Gift with Purchase!,4 Colors,makeup,face, ,
pimprod2021808,2563578,ULTA,Under Eye Brightener,https://www.ulta.com/p/under-eye-brightener-pimprod2021808,3.80,75,0,$10.00,Free Gift with Purchase!,2 Colors,makeup,face, ,
xlsImpprod15451035,2506087,J.Cat Beauty,Color Corrector Quad Spectrum Palette,https://www.ulta.com/p/color-corrector-quad-spectrum-palette-xlsImpprod15451035,3.90,24,0,$5.99,Free Gift with Purchase!,,makeup,makeup palettes, ,
pimprod2006895,2551502,Indeed Labs,Nanoblur Colour Corrector,https://www.ulta.com/p/nanoblur-colour-corrector-pimprod2006895,4.10,12,0,$16.99,,2 Colors,skin care,global skin care, ,
pimprod2022032,2565871,NYX Professional Makeup,Total Control Pro Drop Foundation Hue Shifter,https://www.ulta.com/p/total-control-pro-drop-foundation-hue-shifter-pimprod2022032,2.20,33,0,$14.00,Free Gift with Purchase!,4 Colors,makeup,face, ,
pimprod2007469,2549422,Urban Decay Cosmetics,Stay Naked Pro Customizer - Color Corrector,https://www.ulta.com/p/stay-naked-pro-customizer-color-corrector-pimprod2007469,4.10,12,0,$29.00,Free Gift with Purchase!,2 Colors,makeup,face, ,
pimprod2020359,2576035,KIKO Milano,Colour Correct Concealer Palette,https://www.ulta.com/p/colour-correct-concealer-palette-pimprod2020359,5.00,1,0,$16.00,Free Gift with Purchase!,,makeup,face, ,
xlsImpprod16241034,2514319,Lottie London,Colour Clique Colour Correcting Palette,https://www.ulta.com/p/colour-clique-colour-correcting-palette-xlsImpprod16241034,4.30,12,0,$10.99,Free Gift with Purchase!,,makeup,makeup palettes, ,
pimprod2024878,2583532,BOBBI BROWN,Undereye Corrector,https://www.ulta.com/p/undereye-corrector-pimprod2024878,4.60,426,0,$31.00,Free Gift with Purchase!,11 Colors,makeup,face, ,
pimprod2012342,2559917,Laura Mercier,Translucent Loose Setting Powder,https://www.ulta.com/p/translucent-loose-setting-powder-pimprod2012342,4.70,13299,0,$39.00,Free Gift with Purchase!,3 Colors,makeup,face, ,
VP11362,5081179,bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/p/original-foundation-broad-spectrum-spf-15-VP11362,4.60,14008,0,$32.00,Free Gift with Purchase!,30 Colors,makeup,face, ,
xlsImpprod1480002,2209441,bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/p/matte-foundation-broad-spectrum-spf-15-xlsImpprod1480002,4.50,6835,0,$32.00,Free Gift with Purchase!,30 Colors,makeup,face, ,
xlsImpprod12841021,2290474,It Cosmetics,Bye Bye Pores Pressed Translucent Setting Powder,https://www.ulta.com/p/bye-bye-pores-pressed-translucent-setting-powder-xlsImpprod12841021,4.20,1721,0,$30.00,Free Gift with Purchase!,,makeup,face, ,
pimprod2005433,2543926,It Cosmetics,Your Skin But Better CC+ Airbrush Perfecting Color Correcting Setting Powder,https://www.ulta.com/p/your-skin-but-better-cc-airbrush-perfecting-color-correcting-setting-powder-pimprod2005433,3.70,116,0,$39.00,Free Gift with Purchase!,7 Colors,makeup,face, ,
xlsImpprod15921190,2510714,MAC,Mineralize Skinfinish Natural Face Powder,https://www.ulta.com/p/mineralize-skinfinish-natural-face-powder-xlsImpprod15921190,4.50,464,0,$37.00,Free Gift with Purchase!,14 Colors,makeup,face, ,
xlsImpprod10791893,2153955,Clinique,Stay Matte Sheer Pressed Powder,https://www.ulta.com/p/stay-matte-sheer-pressed-powder-xlsImpprod10791893,4.60,367,0,$31.00,Online Only Purchase $29.50 of Clinique products and get the Clinique Sunny Staples Kit (2582495) for $35 (valid thru 8/28/21 or while quantities last)! Free Gift with Purchase!,10 Colors,makeup,face, ,
xlsImpprod5770265,2264078,It Cosmetics,Bye Bye Pores Translucent Loose Setting Powder,https://www.ulta.com/p/bye-bye-pores-translucent-loose-setting-powder-xlsImpprod5770265,4.10,2419,0,$30.00,Free Gift with Purchase!,,makeup,face, ,
