product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,main_category,sub_category,sub_sub_category,sale_price,options,offers
pimprod2013323,2557063,Pacifica,Sun Dreams Bronzer Duo,https://www.ulta.com/p/sun-dreams-bronzer-duo-pimprod2013323,4.50,26,0,$13.00,makeup,face,bronzer,,,
pimprod2020952,2573563,Makeup Revolution,Superdewy Blur Balm,https://www.ulta.com/p/superdewy-blur-balm-pimprod2020952,3.50,4,0,$12.00,makeup,face,face primer,,,
pimprod2026264,2583781,NYX Professional Makeup,Mini Angel Veil Skin Perfecting Primer,https://www.ulta.com/p/mini-angel-veil-skin-perfecting-primer-pimprod2026264,3.50,2,0,$8.00,makeup,travel size, ,,,
pimprod2015169,2566065,Ofra Cosmetics,Samantha March Chick Lit Blush Duo,https://www.ulta.com/p/samantha-march-chick-lit-blush-duo-pimprod2015169,5.00,30,0,$35.00,makeup,face,blush,,,
pimprod2010131,2517586,Ofra Cosmetics,Rendezvous Pressed Blush,https://www.ulta.com/p/rendezvous-pressed-blush-pimprod2010131,4.80,19,0,$15.00,makeup,face,blush,,,
pimprod2023260,2580955,Burt's Bees,Color Nurture Cream Blush,https://www.ulta.com/p/color-nurture-cream-blush-pimprod2023260,4.50,49,0,$9.99,makeup,face,blush,,,
xlsImpprod15711031,2504749,L.A. Girl,HD Pro Setting Finish Spray,https://www.ulta.com/p/hd-pro-setting-finish-spray-xlsImpprod15711031,4.20,34,1,$5.99,makeup,face,setting spray & powder,$4.79,,
pimprod2021628,2578710,Hynt Beauty,Duet Perfecting Concealer Set,https://www.ulta.com/p/duet-perfecting-concealer-set-pimprod2021628,2.90,10,0,$6.00,makeup,face,concealer,,5 Colors,
pimprod2011646,2559521,Physicians Formula,Mineral Primer,https://www.ulta.com/p/mineral-primer-pimprod2011646,4.00,43,0,$15.99,makeup,face,face primer,,,
pimprod2012205,2557081,Revlon,PhotoReady Prime Plus Brightening & Skin Tone Evening Primer,https://www.ulta.com/p/photoready-prime-plus-brightening-skin-tone-evening-primer-pimprod2012205,4.20,1323,0,$14.99,makeup,face,face primer,,,"Buy 1, get 1 at 50% off!"
pimprod2003544,2541143,Pacifica,Cherry Matte Setting Spray,https://www.ulta.com/p/cherry-matte-setting-spray-pimprod2003544,3.90,63,0,$10.00,makeup,face,setting spray & powder,,,
pimprod2025920,2582610,Makeup Revolution,Revolution Glow X Rachel Leary Golden Hour Highlighter,https://www.ulta.com/p/revolution-glow-x-rachel-leary-golden-hour-highlighter-pimprod2025920,5.00,3,0,$5.99,makeup,face,highlighter,,,
pimprod2021336,2574551,Almay,Skin Perfecting Healthy Biome Makeup,https://www.ulta.com/p/skin-perfecting-healthy-biome-makeup-pimprod2021336,4.10,713,0,$13.99,makeup,face,foundation,,6 Colors,
pimprod2005659,2546541,Elcie Cosmetics,Translucent Powder,https://www.ulta.com/p/translucent-powder-pimprod2005659,4.40,7,0,$29.00,makeup,face,setting spray & powder,,3 Colors,
pimprod2023533,2581719,UOMA Beauty,Black Magic Coming 2 America: Highlighter Zamundan Glow Up,https://www.ulta.com/p/black-magic-coming-2-america-highlighter-zamundan-glow-up-pimprod2023533,0.0,,0,$30.00,makeup,face,highlighter,,,
