product_id,price,options,url,brand,product,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
2681,8.95,"Maison Marais, Organza, Montmartre, Paris.NY, Berry Parisienne, Seine Sunset, Red Passion, S'Il Vous Plait, Rouge St. Germain",https://www.ulta.com/colour-riche-lipcolour?productId=2681,L'Oréal,Colour Riche Lipcolour,4.30,1173,"Buy 2, get 1 FREE - Add 3 items to qualify!",makeup,lips, ,$10.99,old,0.1856
pimprod2003490,14.0,Vermillion (vibrant red),https://www.ulta.com/ofra-x-francesca-tolot-long-lasting-liquid-lipstick?productId=pimprod2003490,Ofra Cosmetics,OFRA x Francesca Tolot Long Lasting Liquid Lipstick,4.40,10,Free Gift with Purchase!,makeup,lips,lipstick,$20.00,old,0.3
pimprod2006955,14.0,Coco Froyo (light warm bronze),https://www.ulta.com/plushies-glow-liquid-lipstick?productId=pimprod2006955,Lime Crime,Plushies Glow Liquid Lipstick,5.00,2,Free Gift with Purchase!,makeup,lips,lipstick,$20.00,old,0.3
pimprod2018114,14.0,"Levitation (highlight powder - soft peach), Lucid (highlight powder - pinkish nude), Lyric (highlight powder - yellow beige)",https://www.ulta.com/shade-light-powder-contour-palette-refill?productId=pimprod2018114,KVD Vegan Beauty,Shade + Light Powder Contour Palette Refill,0,,Free Gift with Purchase!,makeup,gifts & value sets, ,$16.00,old,0.125
pimprod2000278,4.99,"Hazelnut 075, Oat 028",https://www.ulta.com/photoready-candid-antioxidant-concealer?productId=pimprod2000278,Revlon,PhotoReady Candid Antioxidant Concealer,4.40,338,"Buy 1, get 1 at 50% off!",makeup,face, ,$9.99,old,0.5005
pimprod2012210,4.99,Cherries in the Snow,https://www.ulta.com/super-lustrous-glass-shine-lipstick?productId=pimprod2012210,Revlon,Super Lustrous Glass Shine Lipstick,4.10,53,"Buy 1, get 1 at 50% off!",makeup,lips, ,$9.99,old,0.5005
pimprod2000323,5.99,F17 (for deep dark skin tones w/ a neutral undertone),https://www.ulta.com/conceal-define-full-coverage-foundation?productId=pimprod2000323,Makeup Revolution,Conceal & Define Full Coverage Foundation,3.90,1410,,makeup,face, ,$12.00,old,0.5008
pimprod2002644,5.99,"I Rebel, I Stand",https://www.ulta.com/rouge-signature-lightweight-matte-lip-stain?productId=pimprod2002644,L'Oréal,Rouge Signature Lightweight Matte Lip Stain,4.40,9235,,makeup,lips, ,$11.99,old,0.5004
pimprod2012504,5.99,"Chocolate Delight, Lavender Honey, Cherryfic, Lady Toffee",https://www.ulta.com/infallible-matte-lip-crayon?productId=pimprod2012504,L'Oréal,Infallible Matte Lip Crayon,3.70,15,"Buy 2, get 1 FREE - Add 3 items to qualify!",makeup,lips, ,$11.99,old,0.5004
xlsImpprod15091011,5.99,"Deep, Light, Medium to Deep",https://www.ulta.com/outlast-all-day-soft-touch-concealer?productId=xlsImpprod15091011,CoverGirl,Outlast All-Day Soft Touch Concealer,3.80,794,,makeup,face, ,$11.99,old,0.5004
pimprod2000386,8.04,"Perfect Beige M90, Golden Natural M10, Golden Ivory L30, Fair Beige L50, Golden Amber T10, Golden Caramel D10, Warm Honey T30",https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,CoverGirl,TruBlend Matte Made Liquid Foundation,3.30,417,,makeup,face, ,$11.49,old,0.3003
pimprod2000386,5.75,Caramel T70,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,CoverGirl,TruBlend Matte Made Liquid Foundation,3.30,417,,makeup,face, ,$11.49,old,0.4996
pimprod2002661,12.6,"Anti-Socialite (super matte blackened burgundy), Truth or Dare (blackened burgundy w/ purple and gold sparkles), Vertigo (muted smokey purple w/ multi-dimensional teal sparkles), Pillow Fight (dusty mauve w/ purple, silver, and gold sparkles)",https://www.ulta.com/liquid-lip-color?productId=pimprod2002661,SUGARPILL,Liquid Lip Color,4.20,84,Free Gift with Purchase!,makeup,lips, ,$18.00,old,0.3
pimprod2006073,12.6,"Triple Cherry, Triple Swag, Triple Fuschia",https://www.ulta.com/triple-shot-ex?productId=pimprod2006073,VDL,Online Only Triple Shot Ex,4.00,6,Free Gift with Purchase!,makeup,lips,lipstick,$18.00,old,0.3
pimprod2002764,6.49,"Auburn, Light Blonde",https://www.ulta.com/tattoostudio-brow-pomade?productId=pimprod2002764,Maybelline,TattooStudio Brow Pomade,4.30,108,,makeup,eyes,eyebrows,$12.99,old,0.5004
xlsImpprod15091013,6.49,Medium to Deep,https://www.ulta.com/outlast-all-day-matte-finishing-powder?productId=xlsImpprod15091013,CoverGirl,Outlast All-Day Matte Finishing Powder,3.80,794,,makeup,face,face powder,$11.99,old,0.4587
pimprod2002851,1.5,New Atti-hue,https://www.ulta.com/mega-strength-nail-color?productId=pimprod2002851,Sally Hansen,Mega Strength Nail Color,4.00,82,,nails,nail polish, ,$5.99,old,0.7496
pimprod2002852,1.5,Always Extra,https://www.ulta.com/mega-strength-ultra-shine?productId=pimprod2002852,Sally Hansen,Mega Strength Ultra Shine,4.00,82,,nails,nail polish, ,$5.99,old,0.7496
pimprod2003090,3.0,Navy,https://www.ulta.com/no-budge-retractable-eyeliner?productId=pimprod2003090,e.l.f. Cosmetics,No Budge Retractable Eyeliner,4.20,35,Free Gift with Purchase!,makeup,eyes,eyeliner,$4.00,old,0.25
pimprod2003096,2.62,Jet Black,https://www.ulta.com/bold-ambition-mascara?productId=pimprod2003096,ULTA,Bold Ambition Mascara,3.20,85,,makeup,eyes,mascara,$10.50,old,0.7505
pimprod2003475,3.5,"Acid Kiss, Blood Stone",https://www.ulta.com/shattered-glass-lip-topper?productId=pimprod2003475,Sleek MakeUP,Shattered Glass Lip Topper,5.00,4,,makeup,lips, ,$7.00,old,0.5
