,ratings_and_offers_id,price_string,option,price
0,0,$9.99 ,6 Colors,9.99
1,1,$28.00 ,20 Colors,28.0
2,2,$11.99 ,12 Colors,11.99
3,3,$16.00 ,20 Colors,16.0
4,4,$11.99 ,14 Colors,11.99
5,5,$11.49 ,5 Colors,11.49
6,6,$9.49 ,3 Colors,9.49
7,7,$8.50 ,3 Colors,8.5
8,8,$5.99 ,4 Colors,5.99
9,9,$7.99 ,2 Scents,7.99
10,10,$38.00 ,13 Colors,38.0
11,11,$38.00 ,,38.0
12,12,$32.00 ,,32.0
13,13,$8.99 ,5 Colors,8.99
14,14,$7.49 ,3 Colors,7.49
15,15,$29.50 ,,29.5
16,16,$7.99 ,6 Colors,7.99
17,17,$6.99 ,4 Colors,6.99
18,19,$11.99 ,3 Colors,11.99
19,20,$30.00 ,,30.0
20,21,$3.99 ,12 Colors,3.99
21,22,$28.00 ,,28.0
22,23,$10.99 ,,10.99
23,24,$7.99 ,4 Colors,7.99
24,25,$39.00 ,16 Colors,39.0
25,26,$42.00 ,42 Colors,42.0
26,27,$16.00 ,30 Colors,16.0
27,28,$32.00 ,4 Colors,32.0
28,29,$11.99 ,14 Colors,11.99
29,32,$17.99 ,8 Colors,17.99
30,33,$18.00 ,20 Colors,18.0
31,35,$14.00 ,6 Colors,14.0
32,36,$34.00 ,,34.0
33,37,$10.99 ,4 Colors,10.99
34,38,$5.49 ,8 Colors,5.49
35,39,$10.99 ,3 Colors,10.99
36,40,$34.00 ,,34.0
37,41,$9.99 ,3 Scents,9.99
38,42,$16.99 ,,16.99
39,43,$6.50 ,,6.5
40,44,$18.00 ,,18.0
41,45,$12.00 ,,12.0
42,46,$14.50 ,,14.5
43,47,$17.00 ,4 Colors,17.0
44,48,$10.99 ,4 Colors,10.99
45,49,$10.00 ,2 Colors,10.0
46,50,$16.00 ,2 Colors,16.0
47,51,$10.00 ,2 Colors,10.0
48,52,$3.49 ,17 Colors,3.49
49,53,$8.99 ,9 Colors,8.99
50,54,$23.00 ,,23.0
51,55,$3.45 ,4 Colors,3.45
52,56,$3.49 ,9 Colors,3.49
53,57,$7.00 ,,7.0
54,58,$7.00 ,,7.0
55,59,$20.00 ,,20.0
56,60,$13.49 ,3 Colors,13.49
57,61,$12.99 ,,12.99
58,62,$7.00 ,,7.0
59,63,$35.00 ,,35.0
60,64,$34.00 ,,34.0
61,65,$10.00 ,8 Colors,10.0
62,66,$39.00 ,,39.0
63,67,$7.50 ,,7.5
64,68,$24.00 ,,24.0
65,69,$9.00 ,2 Colors,9.0
66,70,$29.00 ,,29.0
67,71,$42.00 ,,42.0
68,72,$23.00 ,3 Colors,23.0
69,73,$16.00 ,,16.0
70,74,$23.00 ,4 Colors,23.0
71,75,$24.00 ,3 Colors,24.0
72,76,$5.50 ,12 Colors,5.5
73,77,$6.99 ,,6.99
74,78,$16.99 ,,16.99
75,79,$11.00 ,9 Colors,11.0
76,80,$7.00 ,9 Colors,7.0
77,81,$15.00 ,,15.0
78,82,$6.00 ,,6.0
79,83,$19.99 ,,19.99
80,84,$20.00 ,,20.0
81,85,$4.99 ,,4.99
82,86,$10.00 ,8 Colors,10.0
83,87,$11.99 ,,11.99
84,88,$7.00 ,,7.0
85,89,$11.99 ,,11.99
86,90,$17.00 ,,17.0
87,91,$9.99 ,,9.99
88,92,$8.00 ,16 Colors,8.0
89,93,$21.00 ,4 Colors,21.0
90,94,$20.00 ,,20.0
91,95,$8.99 ,,8.99
92,96,$20.00 ,,20.0
93,97,$7.50 ,5 Colors,7.5
94,98,$4.50 ,24 Colors,4.5
95,99,$4.50 ,12 Colors,4.5
96,100,$6.50 ,,6.5
97,101,$18.00 ,,18.0
98,102,$18.00 ,,18.0
99,103,$8.99 ,,8.99
100,104,$8.00 ,24 Colors,8.0
101,105,$9.99 ,3 Colors,9.99
102,106,$35.00 ,,35.0
103,107,$10.00 ,8 Colors,10.0
104,108,$8.00 ,6 Colors,8.0
105,109,$7.99 ,,7.99
106,110,$35.00 ,,35.0
107,111,$5.99 ,,5.99
108,112,$7.50 ,5 Colors,7.5
109,113,$8.00 ,,8.0
110,114,$7.99 ,,7.99
111,115,$7.00 ,,7.0
112,116,$6.99 ,,6.99
113,117,$7.99 ,,7.99
114,118,$7.00 ,3 Colors,7.0
115,119,$11.99 ,,11.99
116,120,$6.50 ,9 Colors,6.5
117,121,$5.99 ,,5.99
118,122,$10.50 ,2 Colors,10.5
119,123,$5.99 ,,5.99
120,124,$6.99 ,,6.99
121,125,$7.00 ,6 Colors,7.0
122,126,$9.99 ,,9.99
123,127,$6.49 ,,6.49
124,128,$11.99 ,,11.99
125,129,$6.99 ,,6.99
126,130,$3.99 ,,3.99
127,131,$11.00 ,,11.0
128,132,$20.00 ,,20.0
129,133,$8.00 ,8 Colors,8.0
130,134,$55.00 ,,55.0
131,135,$15.99 ,,15.99
132,136,$6.99 ,,6.99
133,137,$8.99 ,3 Colors,8.99
134,138,$7.00 ,,7.0
135,139,$8.50 ,3 Colors,8.5
136,140,$9.99 ,2 Colors,9.99
137,141,$6.99 ,,6.99
138,142,$5.99 ,,5.99
139,143,$6.99 ,3 Colors,6.99
140,144,$11.99 ,,11.99
141,145,$7.99 ,,7.99
142,146,$9.99 ,,9.99
143,147,$9.99 ,7 Colors,9.99
144,148,$18.00 ,,18.0
145,149,$13.49 ,,13.49
146,150,$25.00 ,,25.0
147,151,$6.99 ,,6.99
148,152,$6.99 ,,6.99
149,153,$9.99 ,,9.99
150,154,$15.99 ,,15.99
151,155,$9.99 ,,9.99
152,156,$35.00 ,,35.0
153,157,$7.00 ,5 Colors,7.0
154,158,$9.99 ,,9.99
155,159,$15.99 ,,15.99
156,160,$6.99 ,,6.99
157,161,$4.50 ,9 Colors,4.5
158,162,$6.99 ,,6.99
159,163,$8.00 ,,8.0
160,164,$7.99 ,2 Colors,7.99
161,165,$10.00 ,7 Colors,10.0
162,166,$18.00 ,,18.0
163,167,$8.99 ,,8.99
164,168,$10.00 ,12 Colors,10.0
165,169,$7.00 ,,7.0
166,170,$5.99 ,,5.99
167,171,$6.00 ,12 Colors,6.0
168,172,$11.99 ,3 Colors,11.99
169,173,$8.00 ,8 Colors,8.0
170,174,$6.99 ,,6.99
171,175,$11.99 ,,11.99
172,176,$15.99 ,,15.99
173,177,$9.00 ,6 Colors,9.0
174,178,$9.99 ,,9.99
175,179,$10.00 ,,10.0
176,180,$13.00 ,10 Colors,13.0
177,181,$7.99 ,,7.99
178,182,$6.50 ,24 Colors,6.5
179,183,$7.00 ,,7.0
180,184,$13.99 ,,13.99
181,185,$6.00 ,,6.0
182,186,$5.99 ,,5.99
183,187,$7.00 ,,7.0
184,188,$9.49 ,,9.49
185,189,$11.00 ,5 Colors,11.0
186,190,$3.99 ,,3.99
187,191,$13.99 ,,13.99
188,192,$5.99 ,,5.99
189,193,$10.00 ,,10.0
190,194,$13.99 ,,13.99
191,195,$6.99 ,,6.99
192,196,$5.99 ,,5.99
193,197,$11.00 ,,11.0
194,198,$15.99 ,,15.99
195,199,$6.49 ,,6.49
196,200,$35.00 ,,35.0
197,202,$11.00 ,8 Colors,11.0
198,203,$8.00 ,8 Colors,8.0
199,204,$12.99 ,,12.99
200,205,$11.99 ,,11.99
201,206,$9.00 ,6 Colors,9.0
202,207,$6.99 ,,6.99
203,208,$4.99 ,,4.99
204,210,$18.00 ,,18.0
205,211,$10.99 ,3 Colors,10.99
206,212,$6.99 ,5 Colors,6.99
207,213,$9.99 ,,9.99
208,214,$7.00 ,,7.0
209,215,$6.99 ,,6.99
210,216,$5.99 ,,5.99
211,217,$6.49 ,,6.49
212,218,$3.99 ,,3.99
213,219,$9.99 ,,9.99
214,220,$11.99 ,,11.99
215,221,$7.99 ,,7.99
216,222,$7.00 ,,7.0
217,223,$5.99 ,,5.99
218,224,$9.99 ,6 Colors,9.99
219,225,$10.99 ,2 Colors,10.99
220,226,$9.49 ,3 Colors,9.49
221,227,$12.99 ,,12.99
222,228,$7.00 ,,7.0
223,229,$9.49 ,6 Colors,9.49
224,230,$6.99 ,2 Colors,6.99
225,231,$8.99 ,5 Colors,8.99
226,232,$10.99 ,8 Colors,10.99
227,233,$7.99 ,,7.99
228,234,$10.00 ,,10.0
229,235,$20.00 ,,20.0
230,236,$9.49 ,,9.49
231,237,$10.99 ,6 Colors,10.99
232,238,$18.00 ,2 Colors,18.0
233,239,$6.50 ,6 Colors,6.5
234,240,$3.99 ,,3.99
235,241,$12.00 ,3 Colors,12.0
236,242,$6.99 ,,6.99
237,243,$11.99 ,,11.99
238,244,$6.00 ,6 Colors,6.0
239,245,$11.99 ,,11.99
240,246,$9.99 ,,9.99
241,247,$9.50 ,,9.5
242,248,$20.00 ,,20.0
243,249,$7.49 ,,7.49
244,250,$5.99 ,2 Colors,5.99
245,251,$5.99 ,,5.99
246,252,$6.00 ,16 Colors,6.0
247,253,$7.99 ,,7.99
248,254,$7.99 ,,7.99
249,255,$10.99 ,4 Colors,10.99
250,256,$10.99 ,3 Colors,10.99
251,257,$8.99 ,,8.99
252,258,$18.00 ,,18.0
253,259,$10.99 ,,10.99
254,260,$12.99 ,,12.99
255,261,$7.50 ,12 Colors,7.5
256,262,$9.99 ,,9.99
257,263,$18.00 ,,18.0
258,264,$42.00 ,,42.0
259,265,$19.00 ,6 Colors,19.0
260,266,$6.00 ,5 Colors,6.0
261,267,$24.00 ,,24.0
262,268,$9.00 ,13 Colors,9.0
263,269,$9.49 ,14 Colors,9.49
264,270,$6.99 ,6 Colors,6.99
265,271,$5.99 ,3 Colors,5.99
266,272,$6.99 ,3 Colors,6.99
267,273,$10.99 ,11 Colors,10.99
268,274,$7.99 ,12 Colors,7.99
269,275,$4.99 ,34 Colors,4.99
270,276,$10.99 ,7 Colors,10.99
271,277,$10.99 ,3 Colors,10.99
272,278,$10.99 ,,10.99
273,280,$9.00 ,11 Colors,9.0
274,281,$9.00 ,12 Colors,9.0
275,282,$9.00 ,12 Colors,9.0
276,284,$9.49 ,9 Colors,9.49
277,285,$9.00 ,12 Colors,9.0
278,286,$48.00 ,,48.0
279,287,$9.00 ,,9.0
280,288,$10.00 ,,10.0
281,289,$79.00 ,,79.0
282,291,$15.00 ,,15.0
283,292,$20.00 ,,20.0
284,293,$12.00 ,,12.0
285,294,$149.00 ,2 Colors,149.0
286,295,$5.00 ,,5.0
287,296,$5.00 ,,5.0
288,297,$33.00 ,,33.0
289,298,$67.00 ,,67.0
290,299,$99.00 ,,99.0
291,300,$82.00 ,,82.0
292,301,$27.99 ,,27.99
293,302,$55.00 ,,55.0
294,303,$27.99 ,,27.99
295,304,$75.00 ,,75.0
296,305,$7.49 ,,7.49
297,306,$55.00 ,,55.0
298,307,$27.99 ,,27.99
299,308,$72.00 ,,72.0
300,309,$80.00 ,,80.0
301,310,$66.00 ,,66.0
302,311,$52.00 ,,52.0
303,312,$89.00 ,,89.0
304,313,$15.00 ,,15.0
305,314,$32.00 ,,32.0
306,315,$26.00 ,,26.0
307,316,$35.00 ,,35.0
308,317,$42.00 ,,42.0
309,318,$46.00 ,,46.0
310,319,$2.99 ,,2.99
311,320,$46.00 ,,46.0
312,321,$75.00 ,,75.0
313,322,$3.99 ,,3.99
