ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
0,xlsImpprod5770263,https://www.ulta.com/bye-bye-redness-neutralizing-color-correcting-concealer-cream?productId=xlsImpprod5770263,$34.00,3 Colors,$34.00,False
1,xlsImpprod15711051,https://www.ulta.com/hd-pro-concealer?productId=xlsImpprod15711051,$4.99,43 Colors,$4.99,False
2,xlsImpprod14491009,https://www.ulta.com/naked-skin-color-correcting-fluid?productId=xlsImpprod14491009,$29.00,3 Colors,$29.00,False
3,xlsImpprod3590053,https://www.ulta.com/photo-finish-reduce-redness-primer?productId=xlsImpprod3590053,$15.00 - $39.00,2 Sizes,$15.00 - $39.00,False
4,xlsImpprod10791925,https://www.ulta.com/redness-solutions-makeup-broad-spectrum-spf-15-with-probiotic-technology?productId=xlsImpprod10791925,$31.00,4 Colors,$31.00,False
5,xlsImpprod12011171,https://www.ulta.com/color-correcting-concealer?productId=xlsImpprod12011171,$12.00,,$9.00,False
6,xlsImpprod3590051,https://www.ulta.com/photo-finish-even-skintone-peach-primer?productId=xlsImpprod3590051,$39.00,,$39.00,False
7,xlsImpprod11861071,https://www.ulta.com/3c-conceal-correct-contour-palette?productId=xlsImpprod11861071,$12.00,3 Colors,$12.00,False
8,xlsImpprod14021283,https://www.ulta.com/correct-perfect-all-in-one-color-correcting-palette?productId=xlsImpprod14021283,$45.00,,$45.00,False
9,xlsImpprod16211179,https://www.ulta.com/facestudio-master-camo-color-correcting-pen?productId=xlsImpprod16211179,$9.99,2 Colors,$9.99,False
10,xlsImpprod13621085,https://www.ulta.com/color-correcting-liquid-primer?productId=xlsImpprod13621085,$14.00,4 Colors,$14.00,False
11,pimprod2012834,https://www.ulta.com/dark-circle-corrector?productId=pimprod2012834,$26.99,2 Colors,$26.99,False
12,xlsImpprod16031107,https://www.ulta.com/teint-idole-ultra-wear-camouflage-corrector?productId=xlsImpprod16031107,$31.00,,$31.00,False
13,xlsImpprod3280313,https://www.ulta.com/studio-perfect-primer-in-green?productId=xlsImpprod3280313,$13.00,,$13.00,False
14,xlsImpprod15451035,https://www.ulta.com/color-corrector-quad-spectrum-palette?productId=xlsImpprod15451035,$5.99,,$5.99,False
15,xlsImpprod17491097,https://www.ulta.com/sos-primer?productId=xlsImpprod17491097,$39.00,4 Colors,$39.00,False
16,xlsImpprod16241034,https://www.ulta.com/colour-clique-colour-correcting-palette?productId=xlsImpprod16241034,$10.99,,$10.99,False
