ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
0,xlsImpprod14491009,makeup,face, ,Urban Decay Cosmetics,Naked Skin Color Correcting Fluid,https://www.ulta.com/naked-skin-color-correcting-fluid?productId=xlsImpprod14491009
1,pimprod2006895,makeup,face, ,Indeed Labs,Nanoblur Colour Corrector,https://www.ulta.com/nanoblur-colour-corrector?productId=pimprod2006895
2,xlsImpprod10791853,makeup,face, ,Clinique,Age Defense BB Cream Broad Spectrum SPF 30,https://www.ulta.com/age-defense-bb-cream-broad-spectrum-spf-30?productId=xlsImpprod10791853
3,pimprod2017406,makeup,face, ,Erborian,BB Crayon Concealer & Touch-Up Stick,https://www.ulta.com/bb-crayon-concealer-touch-up-stick?productId=pimprod2017406
4,pimprod2003250,makeup,face, ,Makeup Revolution,Loose Baking Powder,https://www.ulta.com/loose-baking-powder?productId=pimprod2003250
5,pimprod2010104,makeup,face, ,I Heart Revolution,Loose Baking Powder,https://www.ulta.com/loose-baking-powder?productId=pimprod2010104
6,xlsImpprod15931217,makeup,face, ,Ofra Cosmetics,Pressed Banana Powder Compact,https://www.ulta.com/pressed-banana-powder-compact?productId=xlsImpprod15931217
7,pimprod2009409,makeup,face, ,NARS,Light Reflecting Pressed Setting Powder,https://www.ulta.com/light-reflecting-pressed-setting-powder?productId=pimprod2009409
8,xlsImpprod18931490,makeup,face, ,PÜR,Skin Perfecting Powder Balancing Act,https://www.ulta.com/skin-perfecting-powder-balancing-act?productId=xlsImpprod18931490
9,pimprod2016927,makeup,face, ,Essence,High Beauty Fix Compact Powder,https://www.ulta.com/high-beauty-fix-compact-powder?productId=pimprod2016927
10,pimprod2012444,makeup,face, ,NYX Professional Makeup,High Glass Illuminating Powder,https://www.ulta.com/high-glass-illuminating-powder?productId=pimprod2012444
11,pimprod2008559,makeup,face, ,W3LL PEOPLE,Bio Brightener Invisible Powder,https://www.ulta.com/bio-brightener-invisible-powder?productId=pimprod2008559
12,pimprod2017916,makeup,face, ,Makeup Revolution,Conceal & Define Infinite Universal Pressed Powder,https://www.ulta.com/conceal-define-infinite-universal-pressed-powder?productId=pimprod2017916
13,pimprod2017917,makeup,face, ,Makeup Revolution,Infinite Loose Setting Powder,https://www.ulta.com/infinite-loose-setting-powder?productId=pimprod2017917
14,pimprod2016717,makeup,gifts & value sets,makeup palettes,Morphe,8F Fair Play Complexion Pro Face Palette,https://www.ulta.com/8f-fair-play-complexion-pro-face-palette?productId=pimprod2016717
15,pimprod2016752,makeup,gifts & value sets,makeup palettes,Morphe,8M Medium Vibes Complexion Pro Face Palette,https://www.ulta.com/8m-medium-vibes-complexion-pro-face-palette?productId=pimprod2016752
16,pimprod2016781,makeup,face, ,Catrice,Sculpt Squad Contouring Palette,https://www.ulta.com/sculpt-squad-contouring-palette?productId=pimprod2016781
17,pimprod2017443,makeup,face, ,Clinique,Even Better All-Over Concealer + Eraser,https://www.ulta.com/even-better-all-over-concealer-eraser?productId=pimprod2017443
18,pimprod2007405,makeup,face, ,SMITH & CULT,CANCELLED Light Diffusing V-Concealer,https://www.ulta.com/cancelled-light-diffusing-v-concealer?productId=pimprod2007405
19,pimprod2003122,makeup,face, ,Estée Lauder,Double Wear Instant Fix Concealer 24H Concealer + Hydra Prep,https://www.ulta.com/double-wear-instant-fix-concealer-24h-concealer-hydra-prep?productId=pimprod2003122
