ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
0,xlsImpprod5770263,makeup,face, ,It Cosmetics,Bye Bye Redness Neutralizing Color-Correcting Concealer Cream,https://www.ulta.com/bye-bye-redness-neutralizing-color-correcting-concealer-cream?productId=xlsImpprod5770263
1,xlsImpprod15711051,makeup,face, ,L.A. Girl,HD Pro Concealer,https://www.ulta.com/hd-pro-concealer?productId=xlsImpprod15711051
2,xlsImpprod14491009,makeup,face, ,Urban Decay Cosmetics,Naked Skin Color Correcting Fluid,https://www.ulta.com/naked-skin-color-correcting-fluid?productId=xlsImpprod14491009
3,xlsImpprod3590053,makeup,face, ,Smashbox,Photo Finish Reduce Redness Primer,https://www.ulta.com/photo-finish-reduce-redness-primer?productId=xlsImpprod3590053
4,xlsImpprod10791925,makeup,face, ,Clinique,Redness Solutions Makeup Broad Spectrum SPF 15 with Probiotic Technology,https://www.ulta.com/redness-solutions-makeup-broad-spectrum-spf-15-with-probiotic-technology?productId=xlsImpprod10791925
5,xlsImpprod12011171,makeup,gifts & value sets,makeup palettes,NYX Professional Makeup,Color Correcting Concealer,https://www.ulta.com/color-correcting-concealer?productId=xlsImpprod12011171
6,xlsImpprod3590051,makeup,face, ,Smashbox,Photo Finish Even Skintone Peach Primer,https://www.ulta.com/photo-finish-even-skintone-peach-primer?productId=xlsImpprod3590051
7,xlsImpprod11861071,makeup,gifts & value sets,makeup palettes,NYX Professional Makeup,3C Conceal Correct Contour Palette,https://www.ulta.com/3c-conceal-correct-contour-palette?productId=xlsImpprod11861071
8,xlsImpprod14021283,makeup,gifts & value sets,makeup palettes,Stila,Correct and Perfect All-In-One Color Correcting Palette,https://www.ulta.com/correct-perfect-all-in-one-color-correcting-palette?productId=xlsImpprod14021283
9,xlsImpprod16211179,makeup,face, ,Maybelline,FaceStudio Master Camo Color Correcting Pen,https://www.ulta.com/facestudio-master-camo-color-correcting-pen?productId=xlsImpprod16211179
10,xlsImpprod13621085,makeup,face, ,NYX Professional Makeup,Color Correcting Liquid Primer,https://www.ulta.com/color-correcting-liquid-primer?productId=xlsImpprod13621085
11,pimprod2012834,makeup,face, ,No7,Dark Circle Corrector,https://www.ulta.com/dark-circle-corrector?productId=pimprod2012834
12,xlsImpprod16031107,makeup,face, ,Lancôme,Teint Idole Ultra Wear Camouflage Corrector,https://www.ulta.com/teint-idole-ultra-wear-camouflage-corrector?productId=xlsImpprod16031107
13,xlsImpprod3280313,makeup,face, ,NYX Professional Makeup,Studio Perfect Primer in Green,https://www.ulta.com/studio-perfect-primer-in-green?productId=xlsImpprod3280313
14,xlsImpprod15451035,makeup,gifts & value sets,makeup palettes,J.Cat Beauty,Color Corrector Quad Spectrum Palette,https://www.ulta.com/color-corrector-quad-spectrum-palette?productId=xlsImpprod15451035
15,xlsImpprod17491097,makeup,face, ,Clarins,SOS Primer,https://www.ulta.com/sos-primer?productId=xlsImpprod17491097
16,xlsImpprod16241034,makeup,gifts & value sets,makeup palettes,Lottie London,Colour Clique Colour Correcting Palette,https://www.ulta.com/colour-clique-colour-correcting-palette?productId=xlsImpprod16241034
17,pimprod2008123,makeup,face, ,Peter Thomas Roth,Skin to Die For Redness-Reducing Treatment Primer,https://www.ulta.com/skin-die-redness-reducing-treatment-primer?productId=pimprod2008123
18,pimprod2006895,makeup,face, ,Indeed Labs,Nanoblur Colour Corrector,https://www.ulta.com/nanoblur-colour-corrector?productId=pimprod2006895
19,pimprod2007469,makeup,face, ,Urban Decay Cosmetics,Stay Naked Pro Customizer - Color Corrector,https://www.ulta.com/stay-naked-pro-customizer-color-corrector?productId=pimprod2007469
20,xlsImpprod5770257,makeup,face, ,It Cosmetics,CC+ Cream with SPF 50+,https://www.ulta.com/cc-cream-with-spf-50?productId=xlsImpprod5770257
21,xlsImpprod12251079,makeup,face, ,It Cosmetics,CC+ Cream Illumination SPF 50+,https://www.ulta.com/cc-cream-illumination-spf-50?productId=xlsImpprod12251079
22,xlsImpprod4980083,makeup,face, ,Tarte,BB Tinted Treatment 12 Hour Primer Broad Spectrum SPF 30,https://www.ulta.com/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30?productId=xlsImpprod4980083
23,pimprod2013015,makeup,face, ,It Cosmetics,Mini CC+ Cream with SPF 50+,https://www.ulta.com/mini-cc-cream-with-spf-50?productId=pimprod2013015
24,xlsImpprod10791855,makeup,face, ,Clinique,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,https://www.ulta.com/moisture-surge-cc-cream-hydrating-colour-corrector-broad-spectrum-spf-30?productId=xlsImpprod10791855
25,xlsImpprod6470091,makeup,face, ,bareMinerals,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,https://www.ulta.com/prime-time-bb-primer-cream-daily-defense-broad-spectrum-spf-30?productId=xlsImpprod6470091
26,pimprod2005371,makeup,face, ,Hey Honey,Trick & Treat CC² Active Propolis Color Correcting Cream,https://www.ulta.com/trick-treat-cc-active-propolis-color-correcting-cream?productId=pimprod2005371
27,xlsImpprod4280137,makeup,face, ,Smashbox,Camera Ready BB Cream Broad Spectrum SPF 35,https://www.ulta.com/camera-ready-bb-cream-broad-spectrum-spf-35?productId=xlsImpprod4280137
28,xlsImpprod4480195,makeup,face, ,Maybelline,Dream Fresh BB Cream 8-In-1 Skin Perfector,https://www.ulta.com/dream-fresh-bb-cream-8-in-1-skin-perfector?productId=xlsImpprod4480195
29,xlsImpprod4930069,makeup,face, ,Juice Beauty,STEM CELLULAR CC Cream SPF 30,https://www.ulta.com/stem-cellular-cc-cream-spf-30?productId=xlsImpprod4930069
30,xlsImpprod14161013,makeup,face, ,CoverGirl,Clean Matte BB Cream,https://www.ulta.com/clean-matte-bb-cream?productId=xlsImpprod14161013
31,pimprod2004243,makeup,face, ,Lancôme,UV Expert Mineral Sunscreen CC Cream SPF 50,https://www.ulta.com/uv-expert-mineral-sunscreen-cc-cream-spf-50?productId=pimprod2004243
32,pimprod2012933,makeup,face, ,Clinique,Dramatically Different Moisturizing BB-Gel,https://www.ulta.com/dramatically-different-moisturizing-bb-gel?productId=pimprod2012933
33,xlsImpprod17761877,makeup,face, ,COOLA,Rosilliance Organic BB+ Skin Tint SPF 30,https://www.ulta.com/rosilliance-organic-bb-skin-tint-spf-30?productId=xlsImpprod17761877
34,xlsImpprod10721037,makeup,face, ,Maybelline,Dream Pure BB Cream 8-in-1 Skin Perfector,https://www.ulta.com/dream-pure-bb-cream-8-in-1-skin-perfector?productId=xlsImpprod10721037
35,pimprod2004088,makeup,face, ,jane iredale,Glow Time Full Coverage Mineral BB Cream,https://www.ulta.com/glow-time-full-coverage-mineral-bb-cream?productId=pimprod2004088
36,xlsImpprod18101183,makeup,face, ,IPKN,Moist & Firm BB Cream,https://www.ulta.com/moist-firm-bb-cream?productId=xlsImpprod18101183
37,xlsImpprod10791853,makeup,face, ,Clinique,Age Defense BB Cream Broad Spectrum SPF 30,https://www.ulta.com/age-defense-bb-cream-broad-spectrum-spf-30?productId=xlsImpprod10791853
38,xlsImpprod6380153,makeup,face, ,NYX Professional Makeup,BB Cream,https://www.ulta.com/bb-cream?productId=xlsImpprod6380153
