ratings_and_offers_id,ulta_id,rating,no_of_reviews,options,offers,date
0,0,4.50,2858.0,3 Colors,,08/23/2020
1,1,4.10,1705.0,43 Colors,,08/23/2020
2,2,4.40,832.0,3 Colors,,08/23/2020
3,3,4.10,854.0,2 Sizes,,08/23/2020
4,4,4.60,192.0,4 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
5,5,4.00,478.0,,,08/23/2020
6,6,4.50,211.0,,,08/23/2020
7,7,3.70,509.0,3 Colors,,08/23/2020
8,8,4.60,69.0,,,08/23/2020
9,9,3.50,140.0,2 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
10,10,3.90,170.0,4 Colors,,08/23/2020
11,11,4.00,61.0,2 Colors,"Buy 1, get 1 at 50% off!",08/23/2020
12,12,4.10,94.0,,,08/23/2020
13,13,3.90,1176.0,,,08/23/2020
14,14,3.90,24.0,,,08/23/2020
15,15,4.20,120.0,4 Colors,,08/23/2020
16,16,4.50,11.0,,,08/23/2020
17,17,4.00,4.0,,,08/23/2020
18,18,4.10,10.0,4 Colors,,08/23/2020
19,19,3.80,4.0,2 Colors,,08/23/2020
20,20,4.30,14673.0,12 Colors,,08/23/2020
21,21,4.30,3995.0,12 Colors,,08/23/2020
22,22,4.40,1538.0,4 Colors,,08/23/2020
23,23,4.20,61.0,5 Colors,,08/23/2020
24,24,4.20,258.0,4 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
25,25,4.30,882.0,2 Colors,,08/23/2020
26,26,4.80,549.0,5 Colors,,08/23/2020
27,27,4.30,1326.0,,,08/23/2020
28,28,3.90,1533.0,5 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
29,29,3.80,846.0,7 Colors,,08/23/2020
30,30,4.30,1578.0,6 Colors,,08/23/2020
31,31,3.00,240.0,5 Colors,,08/23/2020
32,32,3.60,77.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
33,33,4.60,1411.0,3 Colors,,08/23/2020
34,34,4.00,599.0,5 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
35,35,4.50,97.0,10 Colors,,08/23/2020
36,36,4.50,64.0,5 Colors,,08/23/2020
37,37,4.10,523.0,2 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
38,38,4.30,1178.0,3 Colors,,08/23/2020
39,39,3.80,1182.0,4 Colors,,08/23/2020
40,40,4.20,21.0,2 Colors,,08/23/2020
41,41,4.30,52.0,3 Colors,,08/23/2020
42,42,3.80,2025.0,,"Buy 1, get 1 at 50% off!",08/23/2020
43,43,4.20,197.0,3 Colors,,08/23/2020
44,44,4.20,330.0,3 Colors,,08/23/2020
45,45,3.80,2025.0,,"Buy 1, get 1 at 50% off!",08/23/2020
46,46,4.00,6.0,6 Colors,,08/23/2020
47,47,3.80,258.0,2 Colors,,08/23/2020
48,48,3.40,179.0,,,08/23/2020
49,49,4.40,23.0,3 Colors,,08/23/2020
50,50,4.50,44.0,,,08/23/2020
51,51,4.00,126.0,,,08/23/2020
52,52,4.20,60.0,,,08/23/2020
53,53,4.00,4.0,4 Colors,,08/23/2020
54,54,2.90,62.0,,,08/23/2020
55,55,5.00,2.0,2 Colors,,08/23/2020
56,56,5.00,2.0,,,08/23/2020
57,57,3.30,68.0,,,08/23/2020
58,58,2.90,57.0,,,08/23/2020
59,59,4.00,3.0,2 Colors,,08/23/2020
60,60,4.50,6.0,,,08/23/2020
61,61,4.40,5.0,3 Colors,,08/23/2020
62,62,3.70,3.0,3 Colors,,08/23/2020
63,63,3.70,9.0,,,08/23/2020
64,64,4.40,19.0,,,08/23/2020
65,65,4.10,51.0,,,08/23/2020
66,66,3.80,5.0,30 Colors,Free Gift with Purchase!,08/23/2020
67,67,3.50,12.0,,,08/23/2020
68,68,5.00,1.0,2 Colors,,08/23/2020
69,69,4.60,31.0,,,08/23/2020
70,70,5.00,1.0,,,08/23/2020
71,71,4.70,3.0,3 Colors,,08/23/2020
72,72,4.00,11.0,,,08/23/2020
73,73,3.80,4.0,,,08/23/2020
74,74,4.60,15.0,,,08/23/2020
75,75,3.90,7.0,4 Colors,,08/23/2020
76,76,4.20,218.0,,,08/23/2020
77,77,5.00,1.0,,,08/23/2020
78,78,0,,,,08/23/2020
79,79,4.60,61.0,,,08/23/2020
80,80,3.90,11.0,,,08/23/2020
81,81,3.30,43.0,,,08/23/2020
82,82,3.50,19.0,,,08/23/2020
83,83,4.60,39.0,3 Colors,,08/23/2020
84,84,0.00,,,,08/23/2020
85,85,3.50,8.0,,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
86,86,0,,,,08/23/2020
87,87,3.90,9.0,,,08/23/2020
88,88,4.10,15.0,3 Colors,,08/23/2020
89,89,3.00,12.0,2 Colors,,08/23/2020
90,90,3.60,142.0,,,08/23/2020
91,91,4.20,257.0,,,08/23/2020
92,92,0,,,,08/23/2020
93,93,4.30,75.0,,Free Gift with Purchase!,08/23/2020
94,94,4.10,28.0,,,08/23/2020
95,95,4.60,39.0,,,08/23/2020
96,96,2.80,150.0,,,08/23/2020
97,97,3.80,794.0,,,08/23/2020
98,98,4.60,28.0,,,08/23/2020
99,99,4.20,455.0,4 Colors,,08/23/2020
100,100,3.90,1176.0,,,08/23/2020
101,101,0,,,,08/23/2020
102,102,3.50,2.0,,,08/23/2020
103,103,4.00,5.0,,,08/23/2020
104,104,5.00,1.0,,,08/23/2020
105,105,4.90,7.0,,,08/23/2020
106,106,4.30,16.0,,,08/23/2020
107,107,4.40,46.0,4 Colors,,08/23/2020
108,108,3.00,4.0,10 Colors,,08/23/2020
109,109,5.00,2.0,,,08/23/2020
110,110,4.00,1.0,,,08/23/2020
111,111,4.10,7.0,2 Colors,,08/23/2020
112,112,4.30,4.0,,,08/23/2020
113,113,3.70,9.0,,,08/23/2020
114,114,4.00,1.0,,,08/23/2020
115,115,5.00,2.0,,,08/23/2020
116,116,0,,,,08/23/2020
117,117,3.00,1.0,,,08/23/2020
118,118,0,,,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
119,119,4.70,26.0,,,08/23/2020
120,120,4.20,728.0,,,08/23/2020
121,121,4.40,9.0,2 Scents,,08/23/2020
122,122,3.10,58.0,,,08/23/2020
123,123,0,,,,08/23/2020
124,124,3.10,8.0,,,08/23/2020
125,125,4.70,303.0,,,08/23/2020
126,126,2.90,7.0,,,08/23/2020
127,127,5.00,2.0,3 Colors,,08/23/2020
128,128,3.90,16.0,,,08/23/2020
129,129,4.00,4.0,,,08/23/2020
130,130,3.30,4.0,3 Colors,,08/23/2020
131,131,5.00,1.0,,,08/23/2020
132,132,5.00,5.0,,,08/23/2020
133,133,2.90,7.0,2 Colors,,08/23/2020
134,134,4.00,353.0,,,08/23/2020
135,135,3.00,2.0,,,08/23/2020
136,136,4.40,13.0,,,08/23/2020
137,137,0,,,,08/23/2020
138,138,3.30,11.0,,,08/23/2020
139,139,3.50,48.0,,,08/23/2020
140,140,3.30,3.0,,,08/23/2020
141,141,0,,,,08/23/2020
142,142,4.50,4.0,,,08/23/2020
143,143,0,,3 Colors,,08/23/2020
144,144,4.20,212.0,,,08/23/2020
145,145,3.90,8.0,3 Colors,,08/23/2020
146,146,0,,,,08/23/2020
147,147,4.00,1.0,,Free Gift with Purchase!,08/23/2020
148,148,4.40,31.0,,,08/23/2020
149,149,5.00,1.0,,Free Gift with Purchase!,08/23/2020
150,150,0,,,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
151,151,5.00,4.0,,,08/23/2020
152,152,3.70,6.0,,,08/23/2020
153,153,4.70,27.0,,,08/23/2020
154,154,2.90,7.0,,,08/23/2020
155,155,3.60,117.0,2 Colors,,08/23/2020
156,156,3.70,3.0,,,08/23/2020
157,157,4.10,65.0,2 Colors,,08/23/2020
158,158,3.30,6.0,,,08/23/2020
159,159,0.00,,4 Colors,,08/23/2020
160,160,2.40,9.0,5 Colors,,08/23/2020
161,161,4.70,7.0,2 Colors,,08/23/2020
162,162,4.00,3.0,,,08/23/2020
163,163,3.90,85.0,,,08/23/2020
164,164,0,,,,08/23/2020
