product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,offers,options,main_category,sub_category,sub_sub_category,sale_price
2681,2047575,L'Oréal,Colour Riche Satin Lipstick,https://www.ulta.com/colour-riche-satin-lipstick?productId=2681,4.40,1684,0,$8.95 - $10.99, ,34 Colors,makeup,lips, , 
620,1131111,CoverGirl,Perfect Blend Eyeliner,https://www.ulta.com/perfect-blend-eyeliner?productId=620,4.10,598,0,$5.49 - $5.99,"Buy 2, get 1 FREE - Add 3 items to qualify!",2 Colors,makeup,eyes,eyeliner, 
VP10636,2212124,Issey Miyake,L'Eau D'Issey Pour Homme Eau de Toilette,https://www.ulta.com/leau-dissey-pour-homme-eau-de-toilette?productId=VP10636,4.90,69,0,$57.00 - $97.00,Free Gift with Purchase!,3 Sizes,men,cologne, , 
VP10730,2114146,L'Oréal,True Match Super Blendable Blush,https://www.ulta.com/true-match-super-blendable-blush?productId=VP10730,4.20,545,0,$11.99, ,4 Colors,makeup,face, , 
VP12102,2239031,China Glaze,Nail Lacquer with Hardeners,https://www.ulta.com/nail-lacquer-with-hardeners?productId=VP12102,4.00,3132,0,$7.50, ,34 Colors,nails,nail polish, , 
fs957496,2091510,Givenchy,Very Irrésistible Eau de Toilette,https://www.ulta.com/very-irresistible-eau-de-toilette?productId=fs957496,4.70,107,0,$58.00,Free Gift with Purchase!, ,fragrance,women's fragrance, , 
pimprod2000279,2535152,Revlon,PhotoReady Candid Anti-Pollution Setting Powder,https://www.ulta.com/photoready-candid-anti-pollution-setting-powder?productId=pimprod2000279,3.90,376,0,$4.99, ,2 Colors,makeup,face, , 
pimprod2000284,2535089,Revlon,Ultra HD Matte Lip Mousse Hyper Matte,https://www.ulta.com/ultra-hd-matte-lip-mousse-hyper-matte?productId=pimprod2000284,4.50,1034,0,$4.99 - $9.99, ,8 Colors,makeup,lips,lipstick, 
pimprod2000319,2534486,BaBylissPRO,Miracurl 3 Curl Machine,https://www.ulta.com/miracurl-3-curl-machine?productId=pimprod2000319,3.70,41,0,$139.99,Free Gift with Purchase!, ,tools & brushes,hair styling tools, , 
pimprod2000379,2534431,Unwash,Curls Dry Cleanser,https://www.ulta.com/curls-dry-cleanser?productId=pimprod2000379,4.20,9,0,$18.97, , ,hair,shampoo & conditioner, , 
pimprod2000380,2534432,Unwash,Overnight Hair Masque,https://www.ulta.com/overnight-hair-masque?productId=pimprod2000380,3.30,19,0,$20.97, , ,hair,treatment,masks, 
pimprod2000480,2529674,Pacifica,Pineapple Quench Oil-Free Water Serum,https://www.ulta.com/pineapple-quench-oil-free-water-serum?productId=pimprod2000480,4.10,86,0,$6.99, , ,skin care,treatment & serums,face serums, 
pimprod2000481,2534425,Unwash,Volumizing Foam Cleanser,https://www.ulta.com/volumizing-foam-cleanser?productId=pimprod2000481,4.00,22,0,$20.97, , ,hair,shampoo & conditioner, , 
pimprod2000588,2535542,It Cosmetics,IT Girl Vol. 2 Your Life-Changing Eye & Cheek Palette,https://www.ulta.com/it-girl-vol-2-your-life-changing-eye-cheek-palette?productId=pimprod2000588,4.20,50,0,$18.97, , ,makeup,gifts & value sets, , 
pimprod2000694,2533759,Paul Mitchell,Express Ion Unclipped 1.5''- 0.75'' Cone Attachment,https://www.ulta.com/express-ion-unclipped-15-075-cone-attachment?productId=pimprod2000694,0.0, ,0,$20.97, , ,tools & brushes,hair styling tools, , 
pimprod2002026,2537817,Maybelline,Snapscara Washable Mascara,https://www.ulta.com/snapscara-washable-mascara?productId=pimprod2002026,4.10,299,0,$7.99,"Buy 2, get 1 FREE - Add 3 items to qualify!",2 Colors,makeup,eyes, , 
pimprod2002497,2541030,boscia,Sake Hydrating and Brightening Serum,https://www.ulta.com/sake-hydrating-brightening-serum?productId=pimprod2002497,4.60,21,0,$46.00, , ,skin care,treatment & serums,face serums, 
pimprod2002781,2538881,e.l.f. Cosmetics,Rose Gold Eyeshadow Palette - Sunset,https://www.ulta.com/rose-gold-eyeshadow-palette-sunset?productId=pimprod2002781,4.70,572,0,$5.00,Free Gift with Purchase!, ,makeup,gifts & value sets,makeup palettes, 
pimprod2003024,2540977,Formula 10.0.6,One Deep Attraction Daily Foaming Face Wash,https://www.ulta.com/one-deep-attraction-daily-foaming-face-wash?productId=pimprod2003024,4.20,49,0,$7.99, , ,skin care,cleansers,face wash, 
pimprod2003042,2539467,Milani,Most Wanted Lift & Curl Mascara,https://www.ulta.com/most-wanted-lift-curl-mascara?productId=pimprod2003042,4.10,91,0,$4.99, , ,makeup,eyes, , 
pimprod2003090,2538905,e.l.f. Cosmetics,No Budge Retractable Eyeliner,https://www.ulta.com/no-budge-retractable-eyeliner?productId=pimprod2003090,3.80,114,0,$3.00 - $4.00,Free Gift with Purchase!,4 Colors,makeup,eyes,eyeliner, 
pimprod2003228,2539359,Essence,Volume Hero Waterproof Mascara,https://www.ulta.com/volume-hero-waterproof-mascara?productId=pimprod2003228,4.00,46,0,$2.49, , ,makeup,eyes, , 
pimprod2003291,2538665,Physicians Formula,Murumuru Butter Lip Cream,https://www.ulta.com/murumuru-butter-lip-cream?productId=pimprod2003291,3.60,277,0,$4.29 - $8.49,"Buy 1, get 1 at 50% off!",7 Colors,makeup,lips,lipstick, 
pimprod2003352,2539238,Wet n Wild,PhotoFocus Stick Foundation,https://www.ulta.com/photofocus-stick-foundation?productId=pimprod2003352,4.30,1134,0,$3.29 - $6.49, ,16 Colors,makeup,face, , 
pimprod2003359,2539240,Wet n Wild,MegaJelly Eyeshadow,https://www.ulta.com/megajelly-eyeshadow?productId=pimprod2003359,3.40,94,0,$2.79, ,7 Colors,makeup,eyes,eyeshadow, 
pimprod2003506,2541830,e.l.f. Cosmetics,Jet Set Hydration Kit,https://www.ulta.com/jet-set-hydration-kit?productId=pimprod2003506,4.50,157,0,$7.49,Free Gift with Purchase!, ,skin care,gifts & value sets, , 
pimprod2004293,2545166,Fur,Wash Cloth,https://www.ulta.com/wash-cloth?productId=pimprod2004293,5.00,1,0,$13.20, , ,bath & body,bath & shower,shower gel & body wash, 
pimprod2004570,2545543,I Heart Revolution,Donut Eyeshadow Palette,https://www.ulta.com/donut-eyeshadow-palette?productId=pimprod2004570,4.30,191,0,$8.00,2 for $10!,4 Colors,makeup,gifts & value sets,makeup palettes, 
pimprod2004930,2546395,Vichy,Minéral 89 Face Serum,https://www.ulta.com/mineral-89-face-serum?productId=pimprod2004930,4.20,166,0,$19.99 - $39.50,Free Gift with Purchase!,3 Sizes,skin care,treatment & serums, , 
pimprod2006020,2547611,Gucci,Guilty Cologne Pour Homme Eau de Toilette,https://www.ulta.com/guilty-cologne-pour-homme-eau-de-toilette?productId=pimprod2006020,4.10,110,0,$77.00,Free Gift with Purchase!, ,men,cologne, , 
pimprod2006353,2543591,Unwash,Revitalising Scalp Treatment,https://www.ulta.com/revitalising-scalp-treatment?productId=pimprod2006353,2.00,1,0,$18.97, , ,hair,treatment,leave-in treatment, 
pimprod2006358,2547799,Juvia's Place,The Tribe Highlighter,https://www.ulta.com/tribe-highlighter?productId=pimprod2006358,4.60,71,0,$12.00 - $15.00, ,3 Colors,makeup,face, , 
pimprod2006644,2545971,L'Oréal,Colour Riche Plump and Shine Lipstick,https://www.ulta.com/colour-riche-plump-shine-lipstick?productId=pimprod2006644,4.50,2304,0,$5.49, ,9 Colors,makeup,lips, , 
pimprod2006646,2545938,L'Oréal,Infallible Pro-Matte Liquid Lipstick Les Macarons,https://www.ulta.com/infallible-pro-matte-liquid-lipstick-les-macarons?productId=pimprod2006646,4.50,1954,0,$4.99 - $9.99,"Buy 2, get 1 FREE - Add 3 items to qualify!",7 Colors,makeup,lips,lipstick, 
