product_id,price,options,sku_id,brand,product,url,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
pimprod2016913,5.49,"Vino You Didn't, Bella Bellini, Noir & Forever, Hello Merlot, Cabernet With Bae, Spritz Blitz",2566083,CoverGirl,Outlast UltiMatte One Step Liquid Lip Color,https://www.ulta.com/p/outlast-ultimatte-one-step-liquid-lip-color-pimprod2016913,4.20,663,,makeup,lips,lipstick,$10.99,old,0.5005
pimprod2023901,5.49,Light/Medium,2574166,ULTA,Tinted Self Tan Lotion,https://www.ulta.com/p/tinted-self-tan-lotion-pimprod2023901,1.90,20,,bath & body,suncare, ,$10.99,old,0.5005
xlsImpprod11061226,5.49,"Good Mauve, Sunripe Peach",2573427,CoverGirl,Outlast All Day Lip Color,https://www.ulta.com/p/outlast-all-day-lip-color-xlsImpprod11061226,4.10,2103,,makeup,lips, ,$10.99,old,0.5005
VP12691,39.5,8.4 oz,2547231,Dermalogica,Clearing Skin Wash,https://www.ulta.com/p/clearing-skin-wash-VP12691,4.40,495,Free Gift with Purchase!,skin care,treatment & serums, ,$39.50 - $64.00,old,
VP12697,39.5,8.4 oz,2152628,Dermalogica,Special Cleansing Gel,https://www.ulta.com/p/special-cleansing-gel-VP12697,4.60,6014,Free Gift with Purchase!,men,skin care, ,$39.50 - $64.00,old,
pimprod2003121,39.5,5.1 oz,2535737,Dermalogica,Intensive Moisture Cleanser,https://www.ulta.com/p/intensive-moisture-cleanser-pimprod2003121,4.00,27,Free Gift with Purchase!,skin care,cleansers,face wash,$39.50 - $62.00,old,
2681,8.95,"Montmartre, Red Passion, Rouge St. Germain, Organza, Maison Marais, Seine Sunset, S'Il Vous Plait, Paris.NY, Berry Parisienne, Le Beige",2047561,L'Oréal,Colour Riche Satin Lipstick,https://www.ulta.com/p/colour-riche-satin-lipstick-2681,4.30,2113,,makeup,lips, ,$10.99,old,0.1856
pimprod2002523,12.0,"Fuchsia Slip (vibrant pink), Ruby Slip (classic red)",2542153,Sara Happ,The Lip Slip One Luxe Gloss,https://www.ulta.com/p/lip-slip-one-luxe-gloss-pimprod2002523,3.60,11,,makeup,lips, ,$24.00,old,0.5
xlsImpprod4930039,12.0,Chianti (deep plum),2295817,Stila,Stay All Day Liquid Lipstick,https://www.ulta.com/p/stay-all-day-liquid-lipstick-xlsImpprod4930039,4.20,3320,,makeup,lips, ,$22.00,old,0.4545
pimprod2002612,14.0,"Michelada (rust shimmer w/ multi-tonal pearl), Self Promocean (vivid purple), Actors Gild (amber w/ multi-tonal pearl), Sheen Writer (fuchsia)",2539069,Smashbox,Gloss Angeles Lip Gloss,https://www.ulta.com/p/gloss-angeles-lip-gloss-pimprod2002612,4.50,444,,makeup,lips, ,$22.00,old,0.3636
pimprod2009495,14.0,"Gia Pink (sheer shimmer pink), Glow Down (nude + pink sparkle)",2555732,Petite n Pretty,10K Shine Lip Gloss,https://www.ulta.com/p/10k-shine-lip-gloss-pimprod2009495,4.80,62,Free Gift with Purchase!,makeup,lips, ,$16.00,old,0.125
xlsImpprod19111013,14.0,NW60 (dark chocolate with neutral undertone for deep dark skin),2533075,MAC,Studio Fix 24-Hour Smooth Wear Concealer,https://www.ulta.com/p/studio-fix-24-hour-smooth-wear-concealer-xlsImpprod19111013,3.90,219,,makeup,face, ,$24.00,old,0.4167
