product_id,price,options,brand,product,url,rating,no_of_reviews,main_category,sub_category,sub_sub_category,offers,old_price,age,percent_off
2681,8.95,"Berry Parisienne, Montmartre, Rouge St. Germain, Maison Marais, Seine Sunset, Organza, Red Passion",L'Oréal,Colour Riche Lipcolour,https://www.ulta.com/colour-riche-lipcolour?productId=2681,4.30,1173,makeup,lips, ,,$10.99,old,0.1856
pimprod2012988,5.49,"P5 (light skin tones w/ golden undertone), P12 (medium/dark skin tones w/ neutral undertone)",Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,https://www.ulta.com/conceal-define-satte-matte-powder-foundation?productId=pimprod2012988,4.20,63,makeup,face, ,,$11.00,old,0.5009
pimprod2003490,14.0,Vermillion (vibrant red),Ofra Cosmetics,OFRA x Francesca Tolot Long Lasting Liquid Lipstick,https://www.ulta.com/ofra-x-francesca-tolot-long-lasting-liquid-lipstick?productId=pimprod2003490,4.40,10,makeup,lips,lipstick,,$20.00,old,0.3
pimprod2006955,14.0,Coco Froyo (light warm bronze),Lime Crime,Plushies Glow Liquid Lipstick,https://www.ulta.com/plushies-glow-liquid-lipstick?productId=pimprod2006955,5.00,2,makeup,lips,lipstick,,$20.00,old,0.3
pimprod2009488,14.0,"Bank on Pink (light sparkle pink), $tocks & Bronze (nude gold sparkle), $hine Bright (bright coral), $ell Out (clear)",Petite 'n Pretty,Glo$$ Balm Glossy Lip Balm,https://www.ulta.com/glo-balm-glossy-lip-balm?productId=pimprod2009488,5.00,10,makeup,lips, ,,$16.00,new,0.125
pimprod2009495,14.0,"Diamond Heist (clear multi sparkle), Shell Shocked (holographic lilac), Gia Pink (sheer shimmer pink)",Petite 'n Pretty,10K Shine Lip Gloss,https://www.ulta.com/10k-shine-lip-gloss?productId=pimprod2009495,4.50,4,makeup,lips, ,,$16.00,new,0.125
pimprod2018114,14.0,"Lyric (highlight powder - yellow beige), Levitation (highlight powder - soft peach)",KVD Vegan Beauty,Shade + Light Powder Contour Palette Refill,https://www.ulta.com/shade-light-powder-contour-palette-refill?productId=pimprod2018114,4.50,55,makeup,gifts & value sets, ,Free Gift with Purchase!,$16.00,old,0.125
pimprod2000278,4.99,Oat 028,Revlon,PhotoReady Candid Antioxidant Concealer,https://www.ulta.com/photoready-candid-antioxidant-concealer?productId=pimprod2000278,4.40,338,makeup,face, ,,$9.99,old,0.5005
pimprod2012210,4.99,Cherries in the Snow,Revlon,Super Lustrous Glass Shine Lipstick,https://www.ulta.com/super-lustrous-glass-shine-lipstick?productId=pimprod2012210,4.10,53,makeup,lips, ,,$9.99,old,0.5005
pimprod2000386,5.75,Caramel T70,CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,3.30,419,makeup,face, ,,$11.49,old,0.4996
