id,url,brand,product,rating,no_of_reviews,sale,price,secret_sale,offers,options,main_category,sub_category,sub_sub_category,sale_price
xlsImpprod5770263,https://www.ulta.com/bye-bye-redness-neutralizing-color-correcting-concealer-cream?productId=xlsImpprod5770263,It Cosmetics,Bye Bye Redness Neutralizing Color-Correcting Concealer Cream,4.50,2854.0,0,$34.00,0,Free Gift with Purchase!,3 Colors,makeup,face, ,
xlsImpprod15711051,https://www.ulta.com/hd-pro-concealer?productId=xlsImpprod15711051,L.A. Girl,HD Pro Concealer,4.10,1697.0,0,$4.99,0,,43 Colors,makeup,face, ,
xlsImpprod14491009,https://www.ulta.com/naked-skin-color-correcting-fluid?productId=xlsImpprod14491009,Urban Decay Cosmetics,Naked Skin Color Correcting Fluid,4.30,493.0,0,$29.00,0,Free Gift with Purchase!,4 Colors,makeup,face, ,
xlsImpprod3590053,https://www.ulta.com/photo-finish-reduce-redness-primer?productId=xlsImpprod3590053,Smashbox,Photo Finish Reduce Redness Primer,4.10,854.0,0,$15.00 - $39.00,0,,2 Sizes,makeup,face, ,
xlsImpprod17691269,https://www.ulta.com/beyond-perfecting-super-concealer-camouflage-24-hour-wear?productId=xlsImpprod17691269,Clinique,Beyond Perfecting Super Concealer Camouflage + 24-Hour Wear,3.90,116.0,0,$21.00,0,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",16 Colors,makeup,face, ,
xlsImpprod3590051,https://www.ulta.com/photo-finish-even-skintone-peach-primer?productId=xlsImpprod3590051,Smashbox,Photo Finish Even Skintone Peach Primer,4.50,211.0,0,$39.00,0,,,makeup,face, ,
xlsImpprod12011171,https://www.ulta.com/color-correcting-concealer?productId=xlsImpprod12011171,NYX Professional Makeup,Color Correcting Concealer,4.00,478.0,0,$12.00,0,,,makeup,gifts & value sets, ,
xlsImpprod11861071,https://www.ulta.com/3c-conceal-correct-contour-palette?productId=xlsImpprod11861071,NYX Professional Makeup,3C Conceal Correct Contour Palette,3.70,507.0,0,$12.00,0,,3 Colors,makeup,gifts & value sets, ,
xlsImpprod14021283,https://www.ulta.com/correct-perfect-all-in-one-color-correcting-palette?productId=xlsImpprod14021283,Stila,Correct and Perfect All-In-One Color Correcting Palette,4.60,69.0,0,$45.00,0,,,makeup,gifts & value sets, ,
xlsImpprod16211179,https://www.ulta.com/facestudio-master-camo-color-correcting-pen?productId=xlsImpprod16211179,Maybelline,FaceStudio Master Camo Color Correcting Pen,3.50,138.0,0,$9.99,0,,2 Colors,makeup,face, ,
xlsImpprod13621085,https://www.ulta.com/color-correcting-liquid-primer?productId=xlsImpprod13621085,NYX Professional Makeup,Color Correcting Liquid Primer,3.90,170.0,0,$14.00,0,,4 Colors,makeup,face, ,
pimprod2012834,https://www.ulta.com/dark-circle-corrector?productId=pimprod2012834,No7,Dark Circle Corrector,4.00,60.0,0,$26.99,0,"Buy 1, get 1 40% off!",2 Colors,makeup,face, ,
xlsImpprod16031107,https://www.ulta.com/teint-idole-ultra-wear-camouflage-corrector?productId=xlsImpprod16031107,Lancôme,Teint Idole Ultra Wear Camouflage Corrector,4.10,93.0,0,$31.00,0,Free Gift with Purchase!,,makeup,face, ,
xlsImpprod15451035,https://www.ulta.com/color-corrector-quad-spectrum-palette?productId=xlsImpprod15451035,J.Cat Beauty,Color Corrector Quad Spectrum Palette,3.90,24.0,0,$5.99,0,Free Gift with Purchase!,,makeup,gifts & value sets, ,
pimprod2016987,https://www.ulta.com/high-beauty-under-eye-brightening-concealer?productId=pimprod2016987,Essence,High Beauty Under Eye Brightening Concealer,3.00,2.0,0,$4.99,0,"Buy 1, get 1 at 50% off!",2 Colors,makeup,face, ,
pimprod2017406,https://www.ulta.comhttps://www.ulta.com/bb-crayon-concealer-touch-up-stick?productId=pimprod2017406,Erborian,BB Crayon Concealer & Touch-Up Stick,5.00,2.0,0,$26.00,0,,4 Colors,makeup,face, ,
xlsImpprod17491097,https://www.ulta.com/sos-primer?productId=xlsImpprod17491097,Clarins,SOS Primer,4.10,114.0,0,$39.00,0,Free Gift with Purchase!,4 Colors,makeup,face, ,
xlsImpprod16241034,https://www.ulta.com/colour-clique-colour-correcting-palette?productId=xlsImpprod16241034,Lottie London,Colour Clique Colour Correcting Palette,4.50,11.0,0,$10.99,0,,,makeup,gifts & value sets,makeup palettes,
pimprod2006895,https://www.ulta.com/nanoblur-colour-corrector?productId=pimprod2006895,Indeed Labs,Nanoblur Colour Corrector,4.00,9.0,0,$16.99,0,,4 Colors,makeup,face, ,
xlsImpprod5770257,https://www.ulta.com/cc-cream-with-spf-50?productId=xlsImpprod5770257,It Cosmetics,CC+ Cream with SPF 50+,4.30,14636.0,0,$39.50,0,Free Gift with Purchase!,12 Colors,makeup,face, ,
xlsImpprod12251079,https://www.ulta.com/cc-cream-illumination-spf-50?productId=xlsImpprod12251079,It Cosmetics,CC+ Cream Illumination SPF 50+,4.30,3987.0,0,$19.00 - $39.50,0,Free Gift with Purchase!,13 Colors,makeup,face, ,
xlsImpprod4980083,https://www.ulta.com/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30?productId=xlsImpprod4980083,Tarte,BB Tinted Treatment 12 Hour Primer Broad Spectrum SPF 30,4.40,1536.0,0,$37.00,0,,4 Colors,makeup,face, ,
pimprod2013015,https://www.ulta.com/mini-cc-cream-with-spf-50?productId=pimprod2013015,It Cosmetics,Mini CC+ Cream with SPF 50+,4.20,54.0,0,$15.50,0,Free Gift with Purchase!,5 Colors,makeup,face, ,
