url_pkey,url,main_category,sub_category,sub_sub_category
0,https://www.ulta.com/makeup-face?N=26y3&No=0&Nrpp=500,makeup,face, 
1,https://www.ulta.com/makeup-face?N=26y3&No=500&Nrpp=500,makeup,face, 
2,https://www.ulta.com/makeup-face?N=26y3&No=1000&Nrpp=500,makeup,face, 
3,https://www.ulta.com/makeup-face?N=26y3&No=1500&Nrpp=500,makeup,face, 
4,https://www.ulta.com/makeup-face-foundation?N=26y5&No=0&Nrpp=500,makeup,face,foundation
5,https://www.ulta.com/makeup-face-powder?N=26y8&No=0&Nrpp=500,makeup,face,face powder
6,https://www.ulta.com/makeup-face-concealer?N=26y6&No=0&Nrpp=500,makeup,face,concealer
7,https://www.ulta.com/makeup-face-color-correcting?N=uo37yr&No=0&Nrpp=500,makeup,face,color correcting
8,https://www.ulta.com/makeup-face-primer?N=26y4&No=0&Nrpp=500,makeup,face,face primer
9,https://www.ulta.com/makeup-face-bb-cc-creams?N=277u&No=0&Nrpp=500,makeup,face,bb & cc creams
10,https://www.ulta.com/makeup-face-blush?N=277v&No=0&Nrpp=500,makeup,face,blush
11,https://www.ulta.com/makeup-face-bronzer?N=26y9&No=0&Nrpp=500,makeup,face,bronzer
12,https://www.ulta.com/makeup-face-contouring?N=27eh&No=0&Nrpp=500,makeup,face,contouring
13,https://www.ulta.com/makeup-face-highlighter?N=27i0&No=0&Nrpp=500,makeup,face,highlighter
14,https://www.ulta.com/makeup-face-setting-spray?N=10wj5jk&No=0&Nrpp=500,makeup,face,setting spray
15,https://www.ulta.com/makeup-face-shine-control?N=26yc&No=0&Nrpp=500,makeup,face,shine control
16,https://www.ulta.com/skin-care-cleansers-makeup-remover?N=27gx&No=0&Nrpp=500,skin care,cleansers,makeup remover
17,https://www.ulta.com/makeup-eyes?N=26yd&No=0&Nrpp=500,makeup,eyes, 
18,https://www.ulta.com/makeup-eyes?N=26yd&No=500&Nrpp=500,makeup,eyes, 
19,https://www.ulta.com/makeup-eyes?N=26yd&No=1000&Nrpp=500,makeup,eyes, 
20,https://www.ulta.com/makeup-eyes?N=26yd&No=1500&Nrpp=500,makeup,eyes, 
21,https://www.ulta.com/makeup-eyes-eyeshadow-palettes?N=26ye&No=0&Nrpp=500,makeup,eyes,eyeshadow palettes
