product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
2681,Colour Riche Satin Lipstick,L'Oréal,8.95,10.99,0.19,"Paris.NY, Berry Parisienne, Montmartre, Organza, Seine Sunset, Le Beige, Maison Marais, Rouge St. Germain, Red Passion, S'Il Vous Plait",,Makeup
2681,Colour Riche Satin Lipstick,L'Oréal,8.95,10.99,0.19,"Paris.NY, Berry Parisienne, Montmartre, Organza, Seine Sunset, Le Beige, Maison Marais, Rouge St. Germain, Red Passion, S'Il Vous Plait",,Lips
2681,Colour Riche Satin Lipstick,L'Oréal,8.95,10.99,0.19,"Paris.NY, Berry Parisienne, Montmartre, Organza, Seine Sunset, Le Beige, Maison Marais, Rouge St. Germain, Red Passion, S'Il Vous Plait",,Lipstick
975,1/2 Jaw Cuticle Nipper,Revlon,16.79,18.99,0.12,,,Bath & Body
975,1/2 Jaw Cuticle Nipper,Revlon,16.79,18.99,0.12,,,Hand & Foot Care
975,1/2 Jaw Cuticle Nipper,Revlon,16.79,18.99,0.12,,,Manicure & Pedicure Tools
VP11170,Color Assure Conditioner for Color Treated Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Hair
VP11170,Color Assure Conditioner for Color Treated Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Shampoo & Conditioner
VP11170,Color Assure Conditioner for Color Treated Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Conditioner
VP11172,Humectress Moisture Conditioner for Normal to Dry Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Hair
VP11172,Humectress Moisture Conditioner for Normal to Dry Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Shampoo & Conditioner
VP11172,Humectress Moisture Conditioner for Normal to Dry Hair,Nexxus,16.99,19.99,0.15,13.5 oz,,Conditioner
VP12102,Nail Lacquer with Hardeners,China Glaze,1.88,7.5,0.75,"Bring On The Bubby (gleaming gold glitter), Diamond In The Rough",Fan fave,Nails
VP12102,Nail Lacquer with Hardeners,China Glaze,1.88,7.5,0.75,"Bring On The Bubby (gleaming gold glitter), Diamond In The Rough",Fan fave,Nail Polish
fs676514,Signature Eau de Parfum,Michael Kors,48.0,72.0,0.33,1.0 oz,,Fragrance
fs676514,Signature Eau de Parfum,Michael Kors,48.0,72.0,0.33,1.0 oz,,Women's Fragrance
fs676514,Signature Eau de Parfum,Michael Kors,48.0,72.0,0.33,1.0 oz,,Perfume
pimprod2000200,Caviar Anti-Aging Infinite Color Hold Topcoat Spray,Alterna,8.0,32.0,0.75,,,Hair
pimprod2000200,Caviar Anti-Aging Infinite Color Hold Topcoat Spray,Alterna,8.0,32.0,0.75,,,Styling Products
pimprod2000200,Caviar Anti-Aging Infinite Color Hold Topcoat Spray,Alterna,8.0,32.0,0.75,,,Smoothing
pimprod2000274,Lip Vibes,Almay,4.0,7.99,0.5,"Believe (cream), Mix It Up (sheer topper), Smile (matte)",,Makeup
pimprod2000274,Lip Vibes,Almay,4.0,7.99,0.5,"Believe (cream), Mix It Up (sheer topper), Smile (matte)",,Lips
pimprod2000274,Lip Vibes,Almay,4.0,7.99,0.5,"Believe (cream), Mix It Up (sheer topper), Smile (matte)",,Lipstick
pimprod2000694,Express Ion Unclipped 1.5''- 0.75'' Cone Attachment,Paul Mitchell,20.97,20.97,0.0,,,Hair
pimprod2000694,Express Ion Unclipped 1.5''- 0.75'' Cone Attachment,Paul Mitchell,20.97,20.97,0.0,,,Hair Styling Tools
pimprod2001763,Revitalift Derm Intensives Hyaluronic Acid Face Serum,L'Oréal,14.99,29.99,0.5,0.5 oz,Free Gift,Skin Care
pimprod2001763,Revitalift Derm Intensives Hyaluronic Acid Face Serum,L'Oréal,14.99,29.99,0.5,0.5 oz,Free Gift,Treatment & Serums
pimprod2001763,Revitalift Derm Intensives Hyaluronic Acid Face Serum,L'Oréal,14.99,29.99,0.5,0.5 oz,Free Gift,Face Serums
pimprod2002263,True Match Lumi Shake and Glow Dew Mist,L'Oréal,7.49,14.99,0.5,,,Makeup
pimprod2002263,True Match Lumi Shake and Glow Dew Mist,L'Oréal,7.49,14.99,0.5,,,Face
pimprod2002263,True Match Lumi Shake and Glow Dew Mist,L'Oréal,7.49,14.99,0.5,,,Setting Spray & Powder
pimprod2002523,The Lip Slip One Luxe Gloss,Sara Happ,12.0,24.0,0.5,"Fuchsia Slip (vibrant pink), Ruby Slip (classic red)",Online Only,Makeup
